Name,Address,url,Data
Dolce Living Twin Creeks,"659 Junction Dr,Allen,TX,75013",https://www.apartments.com/dolce-living-twin-creeks-allen-tx/w24nh6j/,"{'1 Bed': '$1,165 – 1,270', '2 Beds': '$1,490 – 1,700', '3 Beds': '$2,040'}"
The Reflection at Montgomery Ridge,"1160 Montgomery Blvd,Allen,TX,75013",https://www.apartments.com/the-reflection-at-montgomery-ridge-allen-tx/4d21kbh/,"{'1 Bed': '$1,103 – 1,860', '2 Beds': '$1,656 – 2,030', '3 Beds': '$2,501 – 2,546'}"
Vera Watters Creek,"200 S Watters Rd,Allen,TX,75013",https://www.apartments.com/vera-watters-creek-allen-tx/131vpj4/,"{'1 Bed': '$1,099 – 1,299', '2 Beds': '$1,699 – 1,859', '3 Beds': '$2,299 – 2,414'}"
The Atlantic McKinney Ranch,"5500 McKinney Place Dr,McKinney,TX,75070",https://www.apartments.com/the-atlantic-mckinney-ranch-mckinney-tx/y90ljcv/,"{'1 Bed': '$885 – 1,064', '2 Beds': '$1,089 – 1,249', '3 Beds': '$1,363 – 1,392'}"
Bella Vida Estates,"9601 Custer Rd,Plano,TX,75025",https://www.apartments.com/bella-vida-estates-plano-tx/ykf85hs/,"{'1 Bed': '$919 – 1,588', '2 Beds': '$1,124 – 2,204', '3 Beds': '$1,396 – 2,244', '4 Beds': '$1,504 – 2,523'}"
DeLayne at Twin Creeks,"1089 W Exchange Pky,Allen,TX,75013",https://www.apartments.com/delayne-at-twin-creeks-allen-tx/q8rnnxz/,"{'1 Bed': '$1,000 – 1,065', '2 Beds': '$1,310 – 1,530', '3 Beds': 'Call for Rent'}"
The Lofts at Watters Creek by ARIUM,"935 Garden Park Dr,Allen,TX,75013",https://www.apartments.com/the-lofts-at-watters-creek-by-arium-allen-tx/zx758qz/,"{'1 Bed': '$1,055 – 2,079', '2 Beds': '$1,675 – 2,767', '3 Beds': '$2,205 – 4,120'}"
Benton Pointe,"205 Benton Dr,Allen,TX,75013",https://www.apartments.com/benton-pointe-allen-tx/lv8mmsd/,"{'1 Bed': '$925 – 1,480', '2 Beds': '$1,199 – 1,880', '3 Beds': '$1,569 – 1,974'}"
Settler's Gate,"1420 W McDermott Dr,Allen,TX,75013",https://www.apartments.com/settlers-gate-allen-tx/4dl2p3h/,"{'1 Bed': '$974 – 1,529', '2 Beds': '$1,269 – 1,933', '3 Beds': 'Call for Rent'}"
Lansbrook At Twin Creeks,"505 Benton Dr,Allen,TX,75013",https://www.apartments.com/lansbrook-at-twin-creeks-allen-tx/t6x52n8/,"{'1 Bed': '$924 – 1,163', '2 Beds': '$1,093 – 1,433', '3 Beds': '$1,761'}"
Twin Creeks Crossing,"1090 W Exchange Pky,Allen,TX,75013",https://www.apartments.com/twin-creeks-crossing-allen-tx/0xednp0/,"{'1 Bed': '$1,005 – 1,280', '2 Beds': '$1,440 – 1,570'}"
Trails at Creekside,"1300 N Custer Rd,Allen,TX,75013",https://www.apartments.com/trails-at-creekside-allen-tx/r98gjr3/,"{'1 Bed': '$913 – 1,201', '2 Beds': 'Call for Rent', '3 Beds': 'Call for Rent'}"
Overture Fairview 55+,"220 Convention Dr,Fairview,TX,75069",https://www.apartments.com/overture-fairview-55-fairview-tx/qfz3qvy/,"{'1 Bed': '$1,345 – 2,300', '2 Beds': '$2,400 – 2,950'}"
Auberry at Twin Creeks,"705 Bray Central Dr,Allen,TX,75013",https://www.apartments.com/auberry-at-twin-creeks-allen-tx/t1kq6eb/,"{'1 Bed': '$989 – 1,025', '2 Beds': '$1,279 – 1,519'}"
Hidden Creek,"300 S Watters Rd,Allen,TX,75013",https://www.apartments.com/hidden-creek-allen-tx/z3q0ppz/,"{'1 Bed': '$917 – 1,134', '2 Beds': '$1,320 – 1,956'}"
980 Shaddock Park Ln,"980 Shaddock Park Ln,Allen,TX,75013",https://www.apartments.com/980-shaddock-park-ln-allen-tx/5bd08pp/,"{'4+ Beds': '$4,800'}"
1632 Roma Ln,"1632 Roma Ln,Allen,TX,75013",https://www.apartments.com/1632-roma-ln-allen-tx/fhn330r/,"{'3 Beds': '$2,550'}"
1807 Port Isabel Dr,"1807 Port Isabel Dr,Allen,TX,75013",https://www.apartments.com/1807-port-isabel-dr-allen-tx/nm52zen/,"{'4+ Beds': '$2,500'}"
1068 Emil Pl,"1068 Emil Pl,Allen,TX,75013",https://www.apartments.com/1068-emil-pl-allen-tx/t1lq2q8/,"{'3 Beds': '$2,195'}"
1438 Kingsley Dr,"1438 Kingsley Dr,Allen,TX,75013",https://www.apartments.com/1438-kingsley-dr-allen-tx/394254e/,"{'4 Beds': '$1,900'}"
