Name,Address,url,Data
Palladium Anna,"2020 Florence Way,Anna,TX,75409",https://www.apartments.com/palladium-anna-anna-tx/5bqn3yq/,{'1 Bed\n                            –\n3 Beds': 'Call for Rent'}
2036 Helmoken Falls Dr,"2036 Helmoken Falls Dr,Anna,TX,75409",https://www.apartments.com/2036-helmoken-falls-dr-anna-tx/ne1k8mn/,"{'4+ Beds': '$1,745'}"
421 Stanley Falls Dr,"421 Stanley Falls Dr,Anna,TX,75409",https://www.apartments.com/421-stanley-falls-dr-anna-tx/cb9b6bd/,"{'3 Beds': '$1,495'}"
2405 Hillside Dr,"2405 Hillside Dr,Anna,TX,75409",https://www.apartments.com/2405-hillside-dr-anna-tx/0f1ynz2/,"{'3 Beds': '$1,395'}"
733 Sequoia Dr,"733 Sequoia Dr,Anna,TX,75409",https://www.apartments.com/733-sequoia-dr-anna-tx/7k6clly/,"{'3 Beds': '$1,495'}"
907 Live Oak Dr,"907 Live Oak Dr,Anna,TX,75409",https://www.apartments.com/907-live-oak-dr-anna-tx/l14cxdg/,"{'3 Beds': '$1,450'}"
1121 Doc Holliday Dr,"1121 Doc Holliday Dr,Anna,TX,75409",https://www.apartments.com/1121-doc-holliday-dr-anna-tx/rp51ct0/,"{'4 Beds': '$1,745'}"
408 Creekside Dr,"408 Creekside Dr,Anna,TX,75409",https://www.apartments.com/408-creekside-dr-anna-tx/4qx63ml/,"{'4 Beds': '$1,895'}"
213 Bankhurst Drive,"213 Bankhurst Drive,Anna,TX,75409",https://www.apartments.com/213-bankhurst-drive-anna-tx/vzc2gqf/,"{'3 Beds': '$1,695'}"
2512 Mitchell Ln,"2512 Mitchell Ln,Anna,TX,75409",https://www.apartments.com/2512-mitchell-ln-anna-tx/997je77/,"{'3 Beds': '$1,250'}"
1833 Black Maple Dr,"1833 Black Maple Dr,Anna,TX,75409",https://www.apartments.com/1833-black-maple-dr-anna-tx/f9pjybs/,"{'4+ Beds': '$2,100'}"
409 Waterton Drive,"409 Waterton Drive,Anna,TX,75409",https://www.apartments.com/409-waterton-drive-anna-tx/cpprvsd/,"{'4 Beds': '$2,099'}"
1706 Willow Way,"1706 Willow Way,Anna,TX,75409",https://www.apartments.com/1706-willow-way-anna-tx/j2lwlz6/,"{'3 Beds': '$1,495'}"
228 Copper Switch Drive,"228 Copper Switch Drive,Anna,TX,75409",https://www.apartments.com/228-copper-switch-drive-anna-tx/llypmnf/,"{'4 Beds': '$1,850'}"
1405 Oak Hollow Ln,"1405 Oak Hollow Ln,Anna,TX,75409",https://www.apartments.com/1405-oak-hollow-ln-anna-tx/nklrlwp/,"{'3 Beds': '$1,425'}"
2022 Tanur Cascade Dr,"2022 Tanur Cascade Dr,Anna,TX,75409",https://www.apartments.com/2022-tanur-cascade-dr-anna-tx/t2e220c/,"{'3 Beds': '$1,400'}"
2105 Spruce St,"2105 Spruce St,Anna,TX,75409",https://www.apartments.com/2105-spruce-st-anna-tx/54b3x1p/,"{'4 Beds': '$1,800'}"
148 Ryan Street,"148 Ryan Street,Anna,TX,75409",https://www.apartments.com/148-ryan-street-anna-tx/f9h4h0v/,"{'4 Beds': '$1,800'}"
1834 Walnut Way,"1834 Walnut Way,Anna,TX,75409",https://www.apartments.com/1834-walnut-way-anna-tx/mbxqkel/,"{'4 Beds': '$1,650'}"
306 Olivia Ln,"306 Olivia Ln,Anna,TX,75409",https://www.apartments.com/306-olivia-ln-anna-tx/49xrhzl/,"{'3 Beds': '$1,275'}"
1808 White Pine Trail,"1808 White Pine Trail,Anna,TX,75409",https://www.apartments.com/1808-white-pine-trail-anna-tx/dgsxslk/,"{'4 Beds': '$1,605'}"
429 Creekview Dr,"429 Creekview Dr,Anna,TX,75409",https://www.apartments.com/429-creekview-dr-anna-tx/604qfwr/,"{'4 Beds': '$1,695'}"
2509 Margaret Ln,"2509 Margaret Ln,Anna,TX,75409",https://www.apartments.com/2509-margaret-ln-anna-tx/dmpv7wl/,"{'3 Beds': '$1,395'}"
1837 Walnut Way,"1837 Walnut Way,Anna,TX,75409",https://www.apartments.com/1837-walnut-way-anna-tx/7sqmccz/,"{'3 Beds': '$1,375'}"
514 Creekview Dr,"514 Creekview Dr,Anna,TX,75409",https://www.apartments.com/514-creekview-dr-anna-tx/38lhbhg/,"{'3 Beds': '$1,500'}"
217 Oriole Dr,"217 Oriole Dr,Anna,TX,75409",https://www.apartments.com/217-oriole-dr-anna-tx/k42v6tb/,"{'3 Beds': '$1,550'}"
303 Bonnie Ct,"303 Bonnie Ct,Anna,TX,75409",https://www.apartments.com/303-bonnie-ct-anna-tx/v266zxf/,"{'4 Beds': '$1,275'}"
156 Curt St,"156 Curt St,Anna,TX,75409",https://www.apartments.com/156-curt-st-anna-tx/dl3c6eh/,"{'3 Beds': '$1,575'}"
2113 Cedar Trail,"2113 Cedar Trail,Anna,TX,75409",https://www.apartments.com/2113-cedar-trail-anna-tx/583t6rq/,"{'4 Beds': '$1,800'}"
1813 Birch Wood Rd,"1813 Birch Wood Rd,Anna,TX,75409",https://www.apartments.com/1813-birch-wood-rd-anna-tx/0xfxjj3/,"{'3 Beds': '$1,395'}"
1818 Walnut Way,"1818 Walnut Way,Anna,TX,75409",https://www.apartments.com/1818-walnut-way-anna-tx/jxzz0v6/,"{'4 Beds': '$1,600'}"
2125 Mulberry Dr,"2125 Mulberry Dr,Anna,TX,75409",https://www.apartments.com/2125-mulberry-dr-anna-tx/2xyprh8/,"{'3 Beds': '$1,575'}"
2609 Mitchell Ln,"2609 Mitchell Ln,Anna,TX,75409",https://www.apartments.com/2609-mitchell-ln-anna-tx/b5sm8v8/,"{'4 Beds': '$1,600'}"
237 Niagara Falls Dr,"237 Niagara Falls Dr,Anna,TX,75409",https://www.apartments.com/237-niagara-falls-dr-anna-tx/hnpb390/,"{'4+ Beds': '$1,895'}"
514 Niagara Falls Dr,"514 Niagara Falls Dr,Anna,TX,75409",https://www.apartments.com/514-niagara-falls-dr-anna-tx/83bq6w0/,"{'4 Beds': '$1,400'}"
2516 Ashley Ln,"2516 Ashley Ln,Anna,TX,75409",https://www.apartments.com/2516-ashley-ln-anna-tx/c2efz3f/,"{'4 Beds': '$1,450'}"
1618 White Oak Rd,"1618 White Oak Rd,Anna,TX,75409",https://www.apartments.com/1618-white-oak-rd-anna-tx/f6y157v/,"{'3 Beds': '$1,375'}"
217 Meadow Lark Ln,"217 Meadow Lark Ln,Anna,TX,75409",https://www.apartments.com/217-meadow-lark-ln-anna-tx/58195qm/,"{'3 Beds': '$1,375'}"
112 Birdbrook Dr,"112 Birdbrook Dr,Anna,TX,75409",https://www.apartments.com/112-birdbrook-dr-anna-tx/c25vjld/,"{'3 Beds': '$1,499'}"
821 Oak Hollow Ln,"821 Oak Hollow Ln,Anna,TX,75409",https://www.apartments.com/821-oak-hollow-ln-anna-tx/c6czsgf/,"{'3 Beds': '$1,495'}"
1613 Pin Oak Trail,"1613 Pin Oak Trail,Anna,TX,75409",https://www.apartments.com/1613-pin-oak-trail-anna-tx/17kqm87/,"{'4 Beds': '$1,550'}"
312 Bonnie Ct,"312 Bonnie Ct,Anna,TX,75409",https://www.apartments.com/312-bonnie-ct-anna-tx/ejcvkxn/,"{'3 Beds': '$1,400'}"
1834 Walnut Way,"1834 Walnut Way,Anna,TX,75409",https://www.apartments.com/1834-walnut-way-anna-tx/1sdgf55/,"{'4 Beds': '$1,650'}"
1405 Oak Hollow Ln,"1405 Oak Hollow Ln,Anna,TX,75409",https://www.apartments.com/1405-oak-hollow-ln-anna-tx/6eybyys/,"{'3 Beds': '$1,425'}"
"4 br, 2 bath House - 228 Copper Switch Drive","228 Copper Switch Drive,Anna,TX,75409",https://www.apartments.com/4-br-2-bath-house-228-copper-switch-drive-anna-tx/7phyhnw/,"{'4 Beds': '$1,850'}"
13338 County Road 426,"13338 County Road 426,Anna,TX,75409",https://www.apartments.com/13338-county-road-426-anna-tx/y3evxyt/,"{'4 Beds': '$1,400'}"
329 Meadowview Lane,"329 Meadow View Ln,Anna,TX,75409",https://www.apartments.com/329-meadowview-lane-anna-tx/70fhdcx/,"{'3 Beds': '$1,495'}"
2509 Margaret Lane,"2509 Margaret Ln,Anna,TX,75409",https://www.apartments.com/2509-margaret-lane-anna-tx/00jm7x0/,"{'3 Beds': '$1,395'}"
"3 br, 2 bath House - 421 Stanley Falls Dr.","421 Stanley Falls Dr,Anna,TX,75409",https://www.apartments.com/3-br-2-bath-house-421-stanley-falls-dr-anna-tx/7nwcxhw/,"{'3 Beds': '$1,495'}"
"1121 Doc Holliday Drive, Anna, TX 75409","1121 Doc Holliday Dr,Anna,TX,75409",https://www.apartments.com/1121-doc-holliday-drive-anna-tx-75409-anna-tx/x86n4fn/,"{'2 Beds': '$1,745'}"
315 Magnolia St,"315 Magnolia St,Anna,TX,75409",https://www.apartments.com/315-magnolia-st-anna-tx/ds3mj6k/,"{'3 Beds': '$1,600'}"
898 Ridgeview Rd,"898 Ridgeview Rd,Anna,TX,75409",https://www.apartments.com/898-ridgeview-rd-anna-tx/w2csd4h/,"{'3 Beds': '$1,450'}"
"1121 Doc Holliday Drive, Anna, TX 75409","1121 Doc Holliday Dr,Anna,TX,75409",https://www.apartments.com/1121-doc-holliday-drive-anna-tx-75409-anna-tx/y662kys/,"{'2 Beds': '$1,745'}"
4303 Ridgewood Rd,"4303 Ridgewood Rd,Melissa,TX,75454",https://www.apartments.com/4303-ridgewood-rd-melissa-tx/zcxw4my/,"{'4 Beds': '$1,695'}"
14906 TX-78,"14906 TX-78,Blue Ridge,TX,75424",https://www.apartments.com/14906-tx-78-blue-ridge-tx/5wxr95m/,"{'3 Beds': '$2,200'}"
"3621 Spring Run Lane, Melissa, TX 75454","3621 Spring Run Ln,Melissa,TX,75454",https://www.apartments.com/3621-spring-run-lane-melissa-tx-75454-melissa-tx/wvq19dh/,"{'4+ Beds': '$2,045'}"
"4203 Magnolia Rd, Melissa, TX, 75454","4203 Magnolia Rd,Melissa,TX,75454",https://www.apartments.com/4203-magnolia-rd-melissa-tx-75454-melissa-tx/sv63kt5/,"{'4 Beds': '$2,495'}"
