Name,Address,url,Data
809-811 W Walnut St,"809-811 W Walnut St,Celina,TX,75009",https://www.apartments.com/809-811-w-walnut-st-celina-tx/skjcf35/,{'2 Beds': '$900'}
405 E Maple St,"405 E Maple St,Celina,TX,75009",https://www.apartments.com/405-e-maple-st-celina-tx/0kxb3d2/,"{'3 Beds': '$1,650'}"
807 W Walnut St Unit C3,"807 W Walnut St,Celina,TX,75009",https://www.apartments.com/807-w-walnut-st-celina-tx-unit-c3/mdtcxkk/,{'2 Beds': '$900'}
809 W Walnut St Unit A104,"809 W Walnut St,Celina,TX,75009",https://www.apartments.com/809-w-walnut-st-celina-tx-unit-a104/qgnk6xx/,{'2 Beds': '$900'}
809 W Walnut St Unit B4,"809 W Walnut St,Celina,TX,75009",https://www.apartments.com/809-w-walnut-st-celina-tx-unit-b4/2phxgdc/,{'2 Beds': '$900'}
501 S Louisiana Dr,"501 S Louisiana Dr,Celina,TX,75009",https://www.apartments.com/501-s-louisiana-dr-celina-tx/p150fds/,{'2 Beds': '$895'}
414 Paddock Ln,"414 Paddock Ln,Celina,TX,75009",https://www.apartments.com/414-paddock-ln-celina-tx/153pyt5/,"{'4 Beds': '$1,795'}"
9680 Co Rd 128,"9680 Co Rd 128,Celina,TX,75009",https://www.apartments.com/9680-co-rd-128-celina-tx/5zyxckn/,"{'4 Beds': '$4,200'}"
400 N Ohio St,"400 N Ohio St,Celina,TX,75009",https://www.apartments.com/400-n-ohio-st-celina-tx/r6tt253/,"{'2 Beds': '$1,200'}"
504 Mustang Trail,"504 Mustang Trail,Celina,TX,75009",https://www.apartments.com/504-mustang-trail-celina-tx/yglqk8t/,"{'4 Beds': '$1,695'}"
1513 Brook Ln,"1513 Brook Ln,Celina,TX,75009",https://www.apartments.com/1513-brook-ln-celina-tx/qszt0nz/,"{'4 Beds': '$3,000'}"
428 Lipizzan Ln,"428 Lipizzan Ln,Celina,TX,75009",https://www.apartments.com/428-lipizzan-ln-celina-tx/lwnr2ne/,"{'3 Beds': '$1,795'}"
403 Mustang Trail,"403 Mustang Trail,Celina,TX,75009",https://www.apartments.com/403-mustang-trail-celina-tx/x2jvvvm/,"{'3 Beds': '$1,500'}"
3248 Sky Lane,"3248 Sky Lane,Celina,TX,75009",https://www.apartments.com/3248-sky-lane-celina-tx/7l8brnz/,"{'4 Beds': '$3,095'}"
805 W Walnut St Unit 8,"805 W Walnut St,Celina,TX,75009",https://www.apartments.com/805-w-walnut-st-celina-tx-unit-8/ml930yj/,{'2 Beds': '$875'}
2807 Saddlebred Trail,"2807 Saddlebred Trail,Celina,TX,75009",https://www.apartments.com/2807-saddlebred-trail-celina-tx/4lq4g1l/,"{'4 Beds': '$1,800'}"
306 Tarpan Trail,"306 Tarpan Trail,Celina,TX,75009",https://www.apartments.com/306-tarpan-trail-celina-tx/s66ktw4/,"{'4 Beds': '$1,625'}"
507 Lipizzan Ln,"507 Lipizzan Ln,Celina,TX,75009",https://www.apartments.com/507-lipizzan-ln-celina-tx/xgpl2fq/,"{'4 Beds': '$2,095'}"
101 S Alabama St Unit 18,"101 S Alabama St,Celina,TX,75009",https://www.apartments.com/101-s-alabama-st-celina-tx-unit-18/j86mer7/,"{'2 Beds': '$1,150'}"
601 Barnstorm Dr,"601 Barnstorm Dr,Celina,TX,75009",https://www.apartments.com/601-barnstorm-dr-celina-tx/bfgdj78/,"{'3 Beds': '$2,295'}"
4541 Conrad Ave,"4541 Conrad Ave,Celina,TX,75009",https://www.apartments.com/4541-conrad-ave-celina-tx/yeywlzr/,"{'3 Beds': '$1,795'}"
434 Andalusian Trail,"434 Andalusian Trail,Celina,TX,75009",https://www.apartments.com/434-andalusian-trail-celina-tx/gzt14yz/,"{'4 Beds': '$1,700'}"
511 W Walnut St,"511 W Walnut St,Celina,TX,75009",https://www.apartments.com/511-w-walnut-st-celina-tx/tzb7rmb/,"{'3 Beds': '$1,700'}"
407 E Beech St,"407 E Beech St,Celina,TX,75009",https://www.apartments.com/407-e-beech-st-celina-tx/pd7cvsv/,"{'3 Beds': '$1,450'}"
809 W Walnut St Unit B2,"809 W Walnut St,Celina,TX,75009",https://www.apartments.com/809-w-walnut-st-celina-tx-unit-b2/dscvnej/,{'2 Beds': '$900'}
Cute Duplex in Celina for Lease,"400 N Ohio St,Celina,TX,75009",https://www.apartments.com/cute-duplex-in-celina-for-lease-celina-tx/zlcxhsx/,"{'2 Beds': '$1,200'}"
805 W Walnut St Unit 8,"805 W Walnut St,Celina,TX,75009",https://www.apartments.com/805-w-walnut-st-celina-tx-unit-8/veb09le/,{'2 Beds': '$875'}
807 W Walnut St Unit C1,"807 W Walnut St,Celina,TX,75009",https://www.apartments.com/807-w-walnut-st-celina-tx-unit-c1/g6k5yzz/,{'2 Beds': '$950'}
"2 br, 1 bath House - 400 N. Ohio Street","400 N Ohio St,Celina,TX,75009",https://www.apartments.com/2-br-1-bath-house-400-n-ohio-street-celina-tx/tpfq389/,"{'2 Beds': '$1,200'}"
412 Andalusian Trail,"412 Andalusian Trail,Celina,TX,75009",https://www.apartments.com/412-andalusian-trail-celina-tx/f88dpcv/,"{'4+ Beds': '$1,800'}"
