Name,Address,url,Data
Ascend at Westridge,"401 S Coit Rd,McKinney,TX,75035",https://www.apartments.com/ascend-at-westridge-mckinney-tx/s89hlf5/,"{'1 Bed': '$995 – 1,370', '2 Beds': '$1,370 – 1,920', '3 Beds': '$1,785 – 2,270'}"
Sovereign Preston Road by Cortland,"9440 Stratton Rd,Frisco,TX,75035",https://www.apartments.com/sovereign-preston-road-by-cortland-frisco-tx/txpqpvc/,"{'1 Bed': '$1,054 – 1,471', '2 Beds': '$1,296 – 1,729', '3 Beds': '$1,564 – 2,298'}"
The Vineyards Apartments,"9400 Wade Blvd,Frisco,TX,75035",https://www.apartments.com/the-vineyards-apartments-frisco-tx/pfj3ggr/,"{'1 Bed': '$950 – 1,505', '2 Beds': '$1,275 – 1,670', '3 Beds': '$1,725 – 2,050'}"
Echelon at The Summit,"3033 Ohio Dr,Frisco,TX,75035",https://www.apartments.com/echelon-at-the-summit-frisco-tx/40lf8ml/,"{'Studio': '$1,040 – 1,080', '1 Bed': '$1,001 – 1,703', '2 Beds': '$1,329 – 2,280'}"
Verus Apartments,"3100 Ohio Dr,Frisco,TX,75035",https://www.apartments.com/verus-apartments-frisco-tx/zmfwyzw/,"{'1 Bed': '$1,305 – 1,635', '2 Beds': '$1,699 – 2,179', '3 Beds': '$2,557 – 2,599'}"
The Edison,"8811 Eldorado Pky,Frisco,TX,75033",https://www.apartments.com/the-edison-frisco-tx/l7m3qkd/,"{'1 Bed': '$1,027 – 1,470', '2 Beds': '$1,575 – 2,015', '3 Beds': '$2,272 – 2,486'}"
Legends At Ridgeview Ranch Apartments,"2300 Kathryn Ln,Plano,TX,75025",https://www.apartments.com/legends-at-ridgeview-ranch-apartments-plano-tx/33rhwlg/,"{'1 Bed': '$986 – 1,389', '2 Beds': '$1,250 – 1,726', '3 Beds': '$1,619 – 2,289'}"
Discovery At Rowlett Creek,"4101 S Custer Rd,McKinney,TX,75070",https://www.apartments.com/discovery-at-rowlett-creek-mckinney-tx/jv1r696/,"{'1 Bed': '$930 – 1,680', '2 Beds': '$1,254 – 1,953', '3 Beds': '$1,756 – 2,761'}"
Arcos Craig Ranch,"7201 South Custer Rd,McKinney,TX,75070",https://www.apartments.com/arcos-craig-ranch-mckinney-tx/c97s19g/,"{'1 Bed': '$1,009 – 1,271', '2 Beds': '$1,379 – 1,641', '3 Beds': '$1,719 – 1,809'}"
Sonsrena,"9425 Rolater Rd,Frisco,TX,75035",https://www.apartments.com/sonsrena-frisco-tx/2s71ywb/,"{'1 Bed': '$1,025 – 1,445', '2 Beds': '$1,150 – 1,820', '3 Beds': '$1,590 – 2,030'}"
Marquis at Stonebriar,"11700 Lebanon Rd,Frisco,TX,75035",https://www.apartments.com/marquis-at-stonebriar-frisco-tx/kzkh6tb/,"{'1 Bed': '$898 – 1,576', '2 Beds': '$1,321 – 1,768', '3 Beds': '$1,696 – 2,381'}"
