Name,Address,url,Data
Central Park at Craig Ranch,"7920 Collin David South Dr,McKinney,TX,75070",https://www.apartments.com/central-park-at-craig-ranch-mckinney-tx/p8m9bht/,"{'1 Bed': '$949 – 1,545', '2 Beds': '$1,388 – 2,060', '3 Beds': '$1,974 – 2,024'}"
Cypress,"4690 W Eldorado Pky,McKinney,TX,75070",https://www.apartments.com/cypress-mckinney-tx/j0n9jh4/,"{'1 Bed': '$950 – 1,391', '2 Beds': '$1,180 – 1,795', '3 Beds': '$1,690 – 2,365'}"
Times Square at Craig Ranch,"7951 Collin McKinney Pky,McKinney,TX,75070",https://www.apartments.com/times-square-at-craig-ranch-mckinney-tx/ps2p6gs/,"{'1 Bed': '$913 – 1,643', '2 Beds': '$1,228 – 1,988', '3 Beds': '$1,628 – 2,128'}"
The Rustic of McKinney,"2700 N Brook Dr,McKinney,TX,75070",https://www.apartments.com/the-rustic-of-mckinney-mckinney-tx/hymcg70/,"{'1 Bed': '$1,039 – 1,069', '2 Beds': '$1,249 – 1,299'}"
The Atlantic McKinney Ranch,"5500 McKinney Place Dr,McKinney,TX,75070",https://www.apartments.com/the-atlantic-mckinney-ranch-mckinney-tx/y90ljcv/,"{'1 Bed': '$885 – 1,064', '2 Beds': '$1,089 – 1,249', '3 Beds': '$1,363 – 1,392'}"
Springs At Mckinney,"5960 Stacey Rd,McKinney,TX,75070",https://www.apartments.com/springs-at-mckinney-mckinney-tx/cqc07re/,"{'Studio': '$1,009 – 1,095', '1 Bed': '$1,164 – 1,436', '2 Beds': '$1,553 – 1,928', '3 Beds': '$1,982 – 2,289'}"
St Paul Square,"470 Adriatic Pky,McKinney,TX,75070",https://www.apartments.com/st-paul-square-mckinney-tx/w9tjkqj/,"{'1 Bed': '$995 – 1,615', '2 Beds': '$1,400 – 3,800', '3 Beds': '$2,450'}"
Saxon Woods by Cortland,"4490 W Eldorado Pky,Mckinney,TX,75070",https://www.apartments.com/saxon-woods-by-cortland-mckinney-tx/p7c697s/,"{'1 Bed': '$959 – 1,478', '2 Beds': '$1,286 – 1,750', '3 Beds': '$2,036 – 2,183'}"
Discovery At Rowlett Creek,"4101 S Custer Rd,McKinney,TX,75070",https://www.apartments.com/discovery-at-rowlett-creek-mckinney-tx/jv1r696/,"{'1 Bed': '$930 – 1,680', '2 Beds': '$1,254 – 1,953', '3 Beds': '$1,756 – 2,761'}"
Soho Parkway Apartments,"6653 Mckinney Pky,McKinney,TX,75070",https://www.apartments.com/soho-parkway-apartments-mckinney-tx/j7kwz87/,"{'1 Bed': '$966 – 1,244', '2 Beds': '$1,185 – 1,652'}"
Arcos Craig Ranch,"7201 South Custer Rd,McKinney,TX,75070",https://www.apartments.com/arcos-craig-ranch-mckinney-tx/c97s19g/,"{'1 Bed': '$1,009 – 1,271', '2 Beds': '$1,379 – 1,641', '3 Beds': '$1,719 – 1,809'}"
Magnolia Ranch,"3191 Medical Center Dr,Mckinney,TX,75069",https://www.apartments.com/magnolia-ranch-mckinney-tx/veyx5df/,"{'1 Bed': '$935 – 1,000', '2 Beds': '$1,190 – 1,270'}"
Orion McKinney,"2580 Collin McKinney Pky,McKinney,TX,75070",https://www.apartments.com/orion-mckinney-mckinney-tx/lzgez0e/,"{'Studio': 'Call for Rent', '1 Bed': '$889 – 1,588', '2 Beds': '$1,155 – 2,288', '3 Beds': '$1,501 – 2,481', '4 Beds': 'Call for Rent'}"
Aspire McKinney Ranch,"4700 S Ridge Rd,McKinney,TX,75070",https://www.apartments.com/aspire-mckinney-ranch-mckinney-tx/sfylc27/,"{'1 Bed': '$991 – 1,543', '2 Beds': '$1,299 – 1,946', '3 Beds': '$1,625 – 2,755'}"
The Mansions McKinney,"6600 McKinney Ranch Pky,McKinney,TX,75070",https://www.apartments.com/the-mansions-mckinney-mckinney-tx/50k8bgq/,"{'1 Bed': '$1,026 – 1,534', '2 Beds': '$1,430 – 1,957'}"
Reserve At Stonebridge Ranch,"2305 S Custer Rd,McKinney,TX,75070",https://www.apartments.com/reserve-at-stonebridge-ranch-mckinney-tx/e3sdwrm/,"{'1 Bed': '$1,162 – 1,425', '2 Beds': '$1,558 – 1,905', '3 Beds': '$2,059 – 2,210', '4 Beds': '$2,420 – 2,470'}"
Westcreek Ranch,"2301 W White Ave,McKinney,TX,75071",https://www.apartments.com/westcreek-ranch-mckinney-tx/vs7zerd/,"{'1 Bed': '$925 – 1,000', '2 Beds': '$1,045 – 1,140', '3 Beds': '$1,435 – 1,565'}"
Greenhaven Apartments,"8690 Virginia Pky,McKinney,TX,75071",https://www.apartments.com/greenhaven-apartments-mckinney-tx/zv3kcdw/,"{'1 Bed': '$983 – 1,065', '2 Beds': '$1,264 – 1,478'}"
Avenues at Craig Ranch,"8700 Stacy Rd,McKinney,TX,75070",https://www.apartments.com/avenues-at-craig-ranch-mckinney-tx/wd56g2k/,"{'1 Bed': '$955 – 1,630', '2 Beds': '$1,245 – 2,205', '3 Beds': '$1,635 – 2,165'}"
Bexley Lake Forest,"5201 Collin Mckinney Pky,Mckinney,TX,75070",https://www.apartments.com/bexley-lake-forest-mckinney-tx/xqm0pbm/,"{'1 Bed': '$1,014 – 1,415', '2 Beds': '$1,364 – 1,760', '3 Beds': '$1,604 – 2,372'}"
Villas of El Dorado Apartments,"3250 Hudson Crossing,McKinney,TX,75070",https://www.apartments.com/villas-of-el-dorado-apartments-mckinney-tx/x9b4pvn/,"{'1 Bed': '$883 – 2,695', '2 Beds': '$1,179 – 4,691', '3 Beds': 'Call for Rent'}"
The Venue Craig Ranch,"4651 S Custer Rd,McKinney,TX,75070",https://www.apartments.com/the-venue-craig-ranch-mckinney-tx/h7fxzh0/,"{'1 Bed': '$977 – 1,697', '2 Beds': '$1,326 – 1,883', '3 Beds': '$1,719 – 2,163'}"
El Lago,"3400 Craig Dr,McKinney,TX,75070",https://www.apartments.com/el-lago-mckinney-tx/mzblzkl/,"{'1 Bed': '$815 – 1,182', '2 Beds': '$1,069 – 1,515', '3 Beds': '$1,395 – 1,762'}"
Adriatica Senior Living,"375 Adriatic Pky,McKinney,TX,75070",https://www.apartments.com/adriatica-senior-living-mckinney-tx/prxbwyv/,"{'1 Bed': '$1,600 – 2,120', '2 Beds': '$1,900 – 2,900'}"
MCKINNEY POINTE,"2401 McKinney Ranch Pky,McKinney,TX,75070",https://www.apartments.com/mckinney-pointe-mckinney-tx/zl3jg2w/,"{'1 Bed': '$887 – 1,105', '2 Beds': '$1,443 – 1,543', '3 Beds': 'Call for Rent'}"
1701 at Eldorado,"1701 Park Central Dr,McKinney,TX,75069",https://www.apartments.com/1701-at-eldorado-mckinney-tx/68msx1s/,"{'1 Bed': '$900 – 985', '2 Beds': '$1,200 – 1,690', '3 Beds': 'Call for Rent'}"
The Venue at Stonebridge Ranch,"6530 Virginia Pky,McKinney,TX,75071",https://www.apartments.com/the-venue-at-stonebridge-ranch-mckinney-tx/qnhzdcw/,"{'1 Bed': '$838 – 1,508', '2 Beds': '$1,018 – 1,818', '3 Beds': '$1,308 – 2,398'}"
Bent Creek Apartments,"123 Wilson Creek Blvd,McKinney,TX,75069",https://www.apartments.com/bent-creek-apartments-mckinney-tx/cpphrfd/,"{'2 Beds': '$1,081 – 1,191'}"
The Gables of McKinney,"1500 W Eldorado Pky,McKinney,TX,75069",https://www.apartments.com/the-gables-of-mckinney-mckinney-tx/93s2rv6/,"{'Studio': '$1,252 – 4,389', '1 Bed': '$850 – 2,821', '2 Beds': '$1,259 – 4,481'}"
Villas At Stonebridge Ranch,"7101 Virginia Pky,McKinney,TX,75071",https://www.apartments.com/villas-at-stonebridge-ranch-mckinney-tx/z2e03lx/,"{'1 Bed': '$905 – 1,550', '2 Beds': '$1,220 – 2,360', '3 Beds': '$1,550 – 2,360'}"
Stonegate,"2521 Wolford St,McKinney,TX,75071",https://www.apartments.com/stonegate-mckinney-tx/k99c8eb/,"{'1 Bed': '$900', '2 Beds': '$1,000 – 1,350'}"
Tuscany at Wilson Creek,"451 Wilson Creek Blvd,McKinney,TX,75069",https://www.apartments.com/tuscany-at-wilson-creek-mckinney-tx/4ldrn4j/,"{'1 Bed': '$805', '2 Beds': '$1,100', '3 Beds': '$1,300'}"
Treymore in McKinney Apartments,"901 Wilson Creek Pky,McKinney,TX,75069",https://www.apartments.com/treymore-in-mckinney-apartments-mckinney-tx/z8c30cx/,"{'1 Bed': '$667 – 815', '2 Beds': '$795 – 1,250', '3 Beds': '$915 – 1,121'}"
Redbud Trail,"1300 N Redbud Blvd,McKinney,TX,75069",https://www.apartments.com/redbud-trail-mckinney-tx/7lgsdbz/,{'1 Bed\n                            –\n3 Beds': 'Call for Rent'}
3313 Wind Flower Ln,"McKinney,TX,75070",https://www.apartments.com/3313-wind-flower-ln-mckinney-tx/pn8ndbv/,"{'3 Beds': '$1,600'}"
Parkside at Craig Ranch,"6150 Alma Rd,McKinney,TX,75070",https://www.apartments.com/parkside-at-craig-ranch-mckinney-tx/69w5kps/,"{'Studio': '$865', '1 Bed': '$975 – 1,545', '2 Beds': '$1,375 – 1,840'}"
Artistry at Craig Ranch,"6370 Piper Glen Rd,McKinney,TX,75070",https://www.apartments.com/artistry-at-craig-ranch-mckinney-tx/65z9ybv/,"{'1 Bed': '$1,380 – 1,505', '2 Beds': '$1,675 – 1,970'}"
7601 Copper Mountain Ln,"7601 Copper Mountain Ln,McKinney,TX,75070",https://www.apartments.com/7601-copper-mountain-ln-mckinney-tx/hjlef30/,"{'3 Beds': '$3,250'}"
7513 Copper Mountain Ln,"7513 Copper Mountain Ln,McKinney,TX,75070",https://www.apartments.com/7513-copper-mountain-ln-mckinney-tx/gscs2wx/,"{'2 Beds': '$2,695'}"
617 Bandera St,"617 Bandera St,McKinney,TX,75070",https://www.apartments.com/617-bandera-st-mckinney-tx/1t8q7e4/,"{'3 Beds': '$1,675'}"
4705 Newbridge Dr,"4705 Newbridge Dr,McKinney,TX,75070",https://www.apartments.com/4705-newbridge-dr-mckinney-tx/pkdf25v/,"{'3 Beds': '$1,820'}"
9745 Old Field Dr,"9745 Old Field Dr,McKinney,TX,75070",https://www.apartments.com/9745-old-field-dr-mckinney-tx/mmlp0hk/,"{'3 Beds': '$1,725'}"
9817 Hedge Bell Dr,"9817 Hedge Bell Dr,McKinney,TX,75070",https://www.apartments.com/9817-hedge-bell-dr-mckinney-tx/epftxqm/,"{'4 Beds': '$1,800'}"
5204 Rolling Rock Dr,"5204 Rolling Rock Dr,McKinney,TX,75070",https://www.apartments.com/5204-rolling-rock-dr-mckinney-tx/f86jk7s/,"{'3 Beds': '$279,000'}"
6224 Dark Forest Dr,"6224 Dark Forest Dr,McKinney,TX,75070",https://www.apartments.com/6224-dark-forest-dr-mckinney-tx/11lptt6/,"{'4 Beds': '$1,795'}"
9940 Carter Dr,"9940 Carter Dr,McKinney,TX,75070",https://www.apartments.com/9940-carter-dr-mckinney-tx/xqkhvqn/,"{'4 Beds': '$1,900'}"
5009 Crossvine Ln,"5009 Crossvine Ln,McKinney,TX,75070",https://www.apartments.com/5009-crossvine-ln-mckinney-tx/svryf17/,"{'4 Beds': '$1,750'}"
208 Mozart Way,"208 Mozart Way,McKinney,TX,75070",https://www.apartments.com/208-mozart-way-mckinney-tx/4c4vtph/,"{'2 Beds': '$1,595'}"
5517 Flowerwood Ln,"5517 Flowerwood Ln,McKinney,TX,75070",https://www.apartments.com/5517-flowerwood-ln-mckinney-tx/7zchd8w/,"{'3 Beds': '$1,750'}"
5229 Fort Buckner Dr,"5229 Fort Buckner Dr,McKinney,TX,75070",https://www.apartments.com/5229-fort-buckner-dr-mckinney-tx/8cs5hb1/,"{'4 Beds': '$2,800'}"
4933 Glen Hollow Dr,"4933 Glen Hollow Dr,McKinney,TX,75070",https://www.apartments.com/4933-glen-hollow-dr-mckinney-tx/97bywd4/,"{'4 Beds': '$3,200'}"
4600 Farringdon Ln,"4600 Farringdon Ln,McKinney,TX,75070",https://www.apartments.com/4600-farringdon-ln-mckinney-tx/5vqv0jn/,"{'4 Beds': '$1,995'}"
2216 Tralee Cir,"2216 Tralee Cir,McKinney,TX,75070",https://www.apartments.com/2216-tralee-cir-mckinney-tx/9bkq1d5/,"{'3 Beds': '$1,700'}"
8820 Tatenhill Pl,"8820 Tatenhill Pl,McKinney,TX,75070",https://www.apartments.com/8820-tatenhill-pl-mckinney-tx/kj8qf49/,"{'4 Beds': '$2,500'}"
405 Crutcher Crossing,"405 Crutcher Crossing,McKinney,TX,75070",https://www.apartments.com/405-crutcher-crossing-mckinney-tx/sed7687/,"{'3 Beds': '$1,800'}"
313 Whitman Dr,"313 Whitman Dr,McKinney,TX,75070",https://www.apartments.com/313-whitman-dr-mckinney-tx/ldkk0hf/,"{'4 Beds': '$2,250'}"
6213 Dark Forest Dr,"6213 Dark Forest Dr,McKinney,TX,75070",https://www.apartments.com/6213-dark-forest-dr-mckinney-tx/vcgt7yd/,"{'4 Beds': '$1,750'}"
4611 Bellcrest Dr,"4611 Bellcrest Dr,McKinney,TX,75070",https://www.apartments.com/4611-bellcrest-dr-mckinney-tx/1g7z4k6/,"{'4 Beds': '$1,700'}"
5721 Lodgestone Dr,"5721 Lodgestone Dr,McKinney,TX,75070",https://www.apartments.com/5721-lodgestone-dr-mckinney-tx/qq59mwy/,"{'4+ Beds': '$2,050'}"
10705 Capri Dr,"10705 Capri Dr,McKinney,TX,75070",https://www.apartments.com/10705-capri-dr-mckinney-tx/4q40dqh/,"{'4 Beds': '$2,550'}"
3049 Stone Forest Cir,"3049 Stone Forest Cir,McKinney,TX,75070",https://www.apartments.com/3049-stone-forest-cir-mckinney-tx/eledqhm/,"{'3 Beds': '$1,625'}"
306 Sparrow Hawk Dr,"306 Sparrow Hawk Dr,McKinney,TX,75070",https://www.apartments.com/306-sparrow-hawk-dr-mckinney-tx/tz99wl8/,"{'3 Beds': '$1,750'}"
5712 Lodgestone Dr,"5712 Lodgestone Dr,McKinney,TX,75070",https://www.apartments.com/5712-lodgestone-dr-mckinney-tx/hlbd1h0/,"{'4 Beds': '$1,995'}"
5412 Arapaho Road,"5412 Arapaho Road,McKinney,TX,75070",https://www.apartments.com/5412-arapaho-road-mckinney-tx/gxgcfnx/,"{'4 Beds': '$2,395'}"
4705 Brighton Dr,"4705 Brighton Dr,McKinney,TX,75070",https://www.apartments.com/4705-brighton-dr-mckinney-tx/r2lw963/,"{'3 Beds': '$1,725'}"
10608 Promenade Terrace,"10608 Promenade Terrace,McKinney,TX,75070",https://www.apartments.com/10608-promenade-terrace-mckinney-tx/mz7bm8k/,"{'3 Beds': '$2,500'}"
5012 Geranium Ct,"5012 Geranium Ct,McKinney,TX,75070",https://www.apartments.com/5012-geranium-ct-mckinney-tx/zp01n2y/,"{'3 Beds': '$1,775'}"
8801 Tanglewood Dr,"8801 Tanglewood Dr,McKinney,TX,75070",https://www.apartments.com/8801-tanglewood-dr-mckinney-tx/fymrzlv/,"{'4+ Beds': '$2,150'}"
8805 Red Oaks Dr,"8805 Red Oaks Dr,McKinney,TX,75070",https://www.apartments.com/8805-red-oaks-dr-mckinney-tx/ebw413n/,"{'4+ Beds': '$3,100'}"
