Name,Address,url,Data
Gala at Melissa,"2730 E Melissa Rd,Melissa,TX,75454",https://www.apartments.com/gala-at-melissa-melissa-tx/2x0s9qb/,"{'1 Bed': '$656 – 801', '2 Beds': '$434 – 1,150'}"
Provision at Melissa,"2650 E Melissa Rd,Melissa,TX,75454",https://www.apartments.com/provision-at-melissa-melissa-tx/hvbdq21/,"{'1 Bed': '$656 – 801', '2 Beds': '$781 – 1,100', '3 Beds': '$897 – 1,250'}"
1120 Bexar Ave,"1120 Bexar Ave,Melissa,TX,75454",https://www.apartments.com/1120-bexar-ave-melissa-tx/9304zr6/,"{'3 Beds': '$1,650'}"
318 Lexington Avenue,"318 Lexington Avenue,Melissa,TX,75454",https://www.apartments.com/318-lexington-avenue-melissa-tx/93tyrd7/,"{'4 Beds': '$1,850'}"
1305 Motley Dr,"1305 Motley Dr,Melissa,TX,75454",https://www.apartments.com/1305-motley-dr-melissa-tx/nnpmjbp/,"{'4 Beds': '$2,010'}"
2323 Arrowhead Pass,"2323 Arrowhead Pass,Melissa,TX,75454",https://www.apartments.com/2323-arrowhead-pass-melissa-tx/ezl16dn/,"{'3 Beds': '$1,500'}"
4303 Ridgewood Rd,"4303 Ridgewood Rd,Melissa,TX,75454",https://www.apartments.com/4303-ridgewood-rd-melissa-tx/zcxw4my/,"{'4 Beds': '$1,695'}"
287 Big Bear Dr,"287 Big Bear Dr,Melissa,TX,75454",https://www.apartments.com/287-big-bear-dr-melissa-tx/xpyzy4p/,"{'4 Beds': '$1,550'}"
2816 Winchester Avenue,"2816 Winchester Avenue,Melissa,TX,75454",https://www.apartments.com/2816-winchester-avenue-melissa-tx/m3vy2vk/,"{'3 Beds': '$1,750'}"
3014 Winchester Avenue,"3014 Winchester Avenue,Melissa,TX,75454",https://www.apartments.com/3014-winchester-avenue-melissa-tx/y9kmhdv/,"{'3 Beds': '$1,750'}"
3014 Pinyon Pl,"3014 Pinyon Pl,Melissa,TX,75454",https://www.apartments.com/3014-pinyon-pl-melissa-tx/d91xz3h/,"{'3 Beds': '$1,599'}"
313 Fisherman Trail,"313 Fisherman Trail,Melissa,TX,75454",https://www.apartments.com/313-fisherman-trail-melissa-tx/wfzer7k/,"{'4 Beds': '$1,495'}"
1122 Bexar Ave,"1122 Bexar Ave,Melissa,TX,75454",https://www.apartments.com/1122-bexar-ave-melissa-tx/mgt5ssk/,"{'3 Beds': '$1,650'}"
279 Salmon Lake Dr,"279 Salmon Lake Dr,Melissa,TX,75454",https://www.apartments.com/279-salmon-lake-dr-melissa-tx/nxkrf8n/,"{'3 Beds': '$1,400'}"
1117 Lubbock Ln,"1117 Lubbock Ln,Melissa,TX,75454",https://www.apartments.com/1117-lubbock-ln-melissa-tx/zqvkwzw/,"{'4 Beds': '$2,227'}"
377 Elk Trail,"377 Elk Trail,Melissa,TX,75454",https://www.apartments.com/377-elk-trail-melissa-tx/yynslrv/,"{'3 Beds': '$1,500'}"
3423 Hawthorn Ln,"3423 Hawthorn Ln,Melissa,TX,75454",https://www.apartments.com/3423-hawthorn-ln-melissa-tx/tfnxlvc/,"{'3 Beds': '$2,150'}"
2613 Fritz St,"2613 Fritz St,Melissa,TX,75454",https://www.apartments.com/2613-fritz-st-melissa-tx/5rrz4gm/,"{'4 Beds': '$2,200'}"
3416 Hawthorn Ln,"3416 Hawthorn Ln,Melissa,TX,75454",https://www.apartments.com/3416-hawthorn-ln-melissa-tx/pxepsws/,"{'3 Beds': '$1,800'}"
12 Brookhollow Cir,"12 Brookhollow Cir,Melissa,TX,75454",https://www.apartments.com/12-brookhollow-cir-melissa-tx/5pq1ljq/,"{'3 Beds': '$2,995'}"
314 Fisherman Trail,"314 Fisherman Trail,Melissa,TX,75454",https://www.apartments.com/314-fisherman-trail-melissa-tx/b1zx8t9/,"{'3 Beds': '$1,549'}"
2606 Fritz St,"2606 Fritz St,Melissa,TX,75454",https://www.apartments.com/2606-fritz-st-melissa-tx/h6ntey1/,"{'4 Beds': '$2,000'}"
2617 Fritz St,"2617 Fritz St,Melissa,TX,75454",https://www.apartments.com/2617-fritz-st-melissa-tx/wwq8zxh/,"{'4 Beds': '$2,495'}"
604 Buck Pass,"604 Buck Pass,Melissa,TX,75454",https://www.apartments.com/604-buck-pass-melissa-tx/lz139pf/,"{'4 Beds': '$1,450'}"
"3621 Spring Run Lane, Melissa, TX 75454","3621 Spring Run Ln,Melissa,TX,75454",https://www.apartments.com/3621-spring-run-lane-melissa-tx-75454-melissa-tx/wvq19dh/,"{'4+ Beds': '$2,045'}"
287 Big Bear Dr,"287 Big Bear Dr,Melissa,TX,75454",https://www.apartments.com/287-big-bear-dr-melissa-tx/kn0lbgb/,"{'4 Beds': '$1,550'}"
"4203 Magnolia Rd, Melissa, TX, 75454","4203 Magnolia Rd,Melissa,TX,75454",https://www.apartments.com/4203-magnolia-rd-melissa-tx-75454-melissa-tx/sv63kt5/,"{'4 Beds': '$2,495'}"
North Creek Beauty,"3416 Hawthorn Ln,Melissa,TX,75454",https://www.apartments.com/north-creek-beauty-melissa-tx/mzc0fpj/,"{'3 Beds': '$1,800'}"
103 Covey Ln,"103 Covey Ln,McKinney,TX,75071",https://www.apartments.com/103-covey-ln-mckinney-tx/zmzgqdy/,"{'4+ Beds': '$3,180'}"
