Name,Address,url,Data
Kia Ora Luxury Apartments,"9300 Coit Rd,Plano,TX,75025",https://www.apartments.com/kia-ora-luxury-apartments-plano-tx/mlbb78k/,"{'1 Bed': '$1,055 – 1,586', '2 Beds': '$1,719 – 2,057'}"
Legends At Ridgeview Ranch Apartments,"2300 Kathryn Ln,Plano,TX,75025",https://www.apartments.com/legends-at-ridgeview-ranch-apartments-plano-tx/33rhwlg/,"{'1 Bed': '$986 – 1,389', '2 Beds': '$1,250 – 1,726', '3 Beds': '$1,619 – 2,289'}"
Bella Vida Estates,"9601 Custer Rd,Plano,TX,75025",https://www.apartments.com/bella-vida-estates-plano-tx/ykf85hs/,"{'1 Bed': '$919 – 1,588', '2 Beds': '$1,124 – 2,204', '3 Beds': '$1,396 – 2,244', '4 Beds': '$1,504 – 2,523'}"
Cross Creek,"7401 Alma Dr,Plano,TX,75025",https://www.apartments.com/cross-creek-plano-tx/hdmgh21/,"{'1 Bed': '$935 – 1,010', '2 Beds': '$1,045 – 1,212', '3 Beds': '$1,468 – 1,515'}"
Legends at Chase Oaks,"701 Legacy Dr,Plano,TX,75023",https://www.apartments.com/legends-at-chase-oaks-plano-tx/9lcf4k4/,"{'1 Bed': '$925 – 1,475', '2 Beds': '$1,480 – 1,950', '3 Beds': '$1,710 – 1,850'}"
McDermott Place,"8900 Independence Pkwy,Plano,TX,75025",https://www.apartments.com/mcdermott-place-plano-tx/z7ch7gz/,"{'1 Bed': '$1,075 – 1,564', '2 Beds': '$1,480 – 2,327', '3 Beds': '$1,835 – 2,300'}"
Riachi at One21,"9600 Coit Rd,Plano,TX,75025",https://www.apartments.com/riachi-at-one21-plano-tx/pq2y8dr/,"{'1 Bed': '$960 – 1,310', '2 Beds': '$1,560 – 2,270', '3 Beds': '$1,925 – 2,540'}"
Fountains at Steeplechase Apartments,"7301 Alma Dr,Plano,TX,75025",https://www.apartments.com/fountains-at-steeplechase-apartments-plano-tx/tfm8tr8/,"{'1 Bed': '$883 – 1,395', '2 Beds': '$1,223 – 1,849'}"
Estancia At Ridgeview Ranch,"10200 Independence Pky,Plano,TX,75025",https://www.apartments.com/estancia-at-ridgeview-ranch-plano-tx/zk1sebz/,"{'1 Bed': '$898 – 1,213', '2 Beds': '$1,213 – 1,790', '3 Beds': '$1,587 – 1,747'}"
Ranch At Ridgeview,"2901 Ridgeview Dr,Plano,TX,75025",https://www.apartments.com/ranch-at-ridgeview-plano-tx/1wb82t5/,"{'1 Bed': '$995 – 1,375', '2 Beds': '$1,295 – 1,500', '3 Beds': '$1,750 – 1,755'}"
Legacy,"6909 Custer Rd,Plano,TX,75023",https://www.apartments.com/legacy-plano-tx/kfp7gm9/,"{'1 Bed': '$890 – 2,275', '2 Beds': '$1,285 – 2,145', '3 Beds': 'Call for Rent'}"
Trails at Creekside,"1300 N Custer Rd,Allen,TX,75013",https://www.apartments.com/trails-at-creekside-allen-tx/r98gjr3/,"{'1 Bed': '$913 – 1,201', '2 Beds': 'Call for Rent', '3 Beds': 'Call for Rent'}"
