Name,Address,url,Data
Buffalo Ridge,"133 S 4th St,Princeton,TX,75407",https://www.apartments.com/buffalo-ridge-princeton-tx/fwms68s/,"{'1 Bed': '$850', '2 Beds': '$975'}"
1012 Churchill Dr,"1012 Churchill Dr,Princeton,TX,75407",https://www.apartments.com/1012-churchill-dr-princeton-tx/v69gs3f/,"{'4 Beds': '$1,550'}"
1324 Corkwood Dr,"1324 Corkwood Dr,Princeton,TX,75407",https://www.apartments.com/1324-corkwood-dr-princeton-tx/nb9nd4m/,"{'3 Beds': '$1,495'}"
127 Arbordale Way,"127 Arbordale Way,Princeton,TX,75407",https://www.apartments.com/127-arbordale-way-princeton-tx/8wnstr3/,"{'4 Beds': '$1,750'}"
1319 Soap Tree Dr,"1319 Soap Tree Dr,Princeton,TX,75407",https://www.apartments.com/1319-soap-tree-dr-princeton-tx/njj2tnp/,"{'4+ Beds': '$1,900'}"
700 Parkplace Ridge,"700 Parkplace Ridge,Princeton,TX,75407",https://www.apartments.com/700-parkplace-ridge-princeton-tx/6d4vj7v/,"{'3 Beds': '$1,325'}"
4033 Shady Meadow Ln,"4033 Shady Meadow Ln,Princeton,TX,75407",https://www.apartments.com/4033-shady-meadow-ln-princeton-tx/7vd67qw/,"{'3 Beds': '$1,750'}"
504 E Hazelwood St,"504 E Hazelwood St,Princeton,TX,75407",https://www.apartments.com/504-e-hazelwood-st-princeton-tx/r5gwff1/,"{'3 Beds': '$1,245'}"
1314 Corkwood Dr,"1314 Corkwood Dr,Princeton,TX,75407",https://www.apartments.com/1314-corkwood-dr-princeton-tx/3gw23mg/,"{'4 Beds': '$1,495'}"
232 Timber Dr,"232 Timber Dr,Princeton,TX,75407",https://www.apartments.com/232-timber-dr-princeton-tx/rcp6he1/,"{'4 Beds': '$1,595'}"
312 Magnolia Dr,"312 Magnolia Dr,Princeton,TX,75407",https://www.apartments.com/312-magnolia-dr-princeton-tx/ffxkm0v/,"{'4 Beds': '$1,725'}"
1209 Rainer Dr,"1209 Rainer Dr,Princeton,TX,75407",https://www.apartments.com/1209-rainer-dr-princeton-tx/ykk01qs/,"{'4 Beds': '$1,550'}"
704 E College Ave,"704 E College Ave,Princeton,TX,75407",https://www.apartments.com/704-e-college-ave-princeton-tx/22wg1n9/,"{'4 Beds': '$1,395'}"
220 Lavaca Dr,"220 Lavaca Dr,Princeton,TX,75407",https://www.apartments.com/220-lavaca-dr-princeton-tx/vm6kqxg/,"{'3 Beds': '$1,500'}"
1911 Hot Springs Way,"1911 Hot Springs Way,Princeton,TX,75407",https://www.apartments.com/1911-hot-springs-way-princeton-tx/mhg298j/,"{'3 Beds': '$1,550'}"
160 Briar Grove Dr,"160 Briar Grove Dr,Princeton,TX,75407",https://www.apartments.com/160-briar-grove-dr-princeton-tx/50k6qqq/,"{'3 Beds': '$1,595'}"
133 Meadow Crest Dr,"133 Meadow Crest Dr,Princeton,TX,75407",https://www.apartments.com/133-meadow-crest-dr-princeton-tx/ywf3h3t/,"{'4 Beds': '$1,800'}"
1230 Arizona Dr,"1230 Arizona Dr,Princeton,TX,75407",https://www.apartments.com/1230-arizona-dr-princeton-tx/zhmhwjz/,"{'4 Beds': '$1,475'}"
226 Silver Leaf Dr,"226 Silver Leaf Dr,Princeton,TX,75407",https://www.apartments.com/226-silver-leaf-dr-princeton-tx/fgj7k4t/,"{'4 Beds': '$1,750'}"
1106 Antoinette Dr,"1106 Antoinette Dr,Princeton,TX,75407",https://www.apartments.com/1106-antoinette-dr-princeton-tx/bzj3k7b/,"{'4 Beds': '$1,950'}"
1904 Fairbanks Dr,"1904 Fairbanks Dr,Princeton,TX,75407",https://www.apartments.com/1904-fairbanks-dr-princeton-tx/z5rdryx/,"{'4 Beds': '$1,700'}"
1315 Chapman Dr,"1315 Chapman Dr,Princeton,TX,75407",https://www.apartments.com/1315-chapman-dr-princeton-tx/eq40pfn/,"{'3 Beds': '$1,545'}"
1912 Pilot Point Way,"1912 Pilot Point Way,Princeton,TX,75407",https://www.apartments.com/1912-pilot-point-way-princeton-tx/qjjrxgz/,"{'4+ Beds': '$1,925'}"
1209 Antoinette Dr,"1209 Antoinette Dr,Princeton,TX,75407",https://www.apartments.com/1209-antoinette-dr-princeton-tx/ejw0hyq/,"{'3 Beds': '$1,475'}"
1215 Rainer Dr,"1215 Rainer Dr,Princeton,TX,75407",https://www.apartments.com/1215-rainer-dr-princeton-tx/904crv4/,"{'4 Beds': '$1,550'}"
1205 Rainer Dr,"1205 Rainer Dr,Princeton,TX,75407",https://www.apartments.com/1205-rainer-dr-princeton-tx/nnlqxbq/,"{'4 Beds': '$1,600'}"
1317 Corkwood Dr,"1317 Corkwood Dr,Princeton,TX,75407",https://www.apartments.com/1317-corkwood-dr-princeton-tx/62sze0r/,"{'3 Beds': '$1,395'}"
1707 Pilot Point Way,"1707 Pilot Point Way,Princeton,TX,75407",https://www.apartments.com/1707-pilot-point-way-princeton-tx/vhncsje/,"{'3 Beds': '$1,525'}"
1815 Hot Springs Way,"1815 Hot Springs Way,Princeton,TX,75407",https://www.apartments.com/1815-hot-springs-way-princeton-tx/trphjqc/,"{'3 Beds': '$1,550'}"
502 E Hazelwood St Unit A,"502 E Hazelwood St,Princeton,TX,75407",https://www.apartments.com/502-e-hazelwood-st-princeton-tx-unit-a/s40byv4/,"{'3 Beds': '$1,250'}"
929 Parkplace Ridge,"929 Parkplace Ridge,Princeton,TX,75407",https://www.apartments.com/929-parkplace-ridge-princeton-tx/xym46vn/,"{'3 Beds': '$1,199'}"
1213 Lambert Dr,"1213 Lambert Dr,Princeton,TX,75407",https://www.apartments.com/1213-lambert-dr-princeton-tx/zjz5nww/,"{'3 Beds': '$1,650'}"
1109 Parkway Trail,"1109 Parkway Trail,Princeton,TX,75407",https://www.apartments.com/1109-parkway-trail-princeton-tx/374sl5f/,"{'3 Beds': '$1,225'}"
2056 Meadow Park Dr,"2056 Meadow Park Dr,Princeton,TX,75407",https://www.apartments.com/2056-meadow-park-dr-princeton-tx/2lxvdv8/,"{'3 Beds': '$1,595'}"
1201 Lambert Dr,"1201 Lambert Dr,Princeton,TX,75407",https://www.apartments.com/1201-lambert-dr-princeton-tx/gg48c3w/,"{'3 Beds': '$1,498'}"
519 Creekside Dr,"519 Creekside Dr,Princeton,TX,75407",https://www.apartments.com/519-creekside-dr-princeton-tx/yb1bzjt/,"{'3 Beds': '$1,495'}"
2012 Forest Meadow Dr,"2012 Forest Meadow Dr,Princeton,TX,75407",https://www.apartments.com/2012-forest-meadow-dr-princeton-tx/q4vsj1y/,"{'3 Beds': '$1,525'}"
1203 Arizona Dr,"1203 Arizona Dr,Princeton,TX,75407",https://www.apartments.com/1203-arizona-dr-princeton-tx/d7y0bpj/,"{'4 Beds': '$1,475'}"
1212 Augustin Dr,"1212 Augustin Dr,Princeton,TX,75407",https://www.apartments.com/1212-augustin-dr-princeton-tx/gm4lvkz/,"{'3 Beds': '$1,395'}"
406 Harrelson Dr,"406 Harrelson Dr,Princeton,TX,75407",https://www.apartments.com/406-harrelson-dr-princeton-tx/nc4eefm/,"{'3 Beds': '$1,100'}"
8623 Lakeridge Dr,"8623 Lakeridge Dr,Princeton,TX,75407",https://www.apartments.com/8623-lakeridge-dr-princeton-tx/48nvkmh/,"{'2 Beds': '$1,500'}"
1206 Antoinette Dr,"1206 Antoinette Dr,Princeton,TX,75407",https://www.apartments.com/1206-antoinette-dr-princeton-tx/027b9k2/,"{'4 Beds': '$1,750'}"
315 Woodcreek Dr,"315 Woodcreek Dr,Princeton,TX,75407",https://www.apartments.com/315-woodcreek-dr-princeton-tx/2bsdngc/,"{'3 Beds': '$1,900'}"
510 E Hazelwood St Unit D,"510 E Hazelwood St,Princeton,TX,75407",https://www.apartments.com/510-e-hazelwood-st-princeton-tx-unit-d/vfss83g/,"{'3 Beds': '$1,199'}"
512 E Hazelwood St Unit D,"512 E Hazelwood St,Princeton,TX,75407",https://www.apartments.com/512-e-hazelwood-st-princeton-tx-unit-d/dyrmhcj/,"{'3 Beds': '$1,175'}"
504 E Hazelwood St,"504 E Hazelwood St,Princeton,TX,75407",https://www.apartments.com/504-e-hazelwood-st-princeton-tx/5jkzmvm/,"{'3 Beds': '$1,245'}"
"5 br, 2.5 bath House - 1912 Pilot Point Way","1912 Pilot Point Way,Princeton,TX,75407",https://www.apartments.com/5-br-25-bath-house-1912-pilot-point-way-princeton-tx/pd2zsks/,"{'4+ Beds': '$1,975'}"
1109-1111 Parkway Trail,"1109-1111 Parkway Trail,Princeton,TX,75407",https://www.apartments.com/1109-1111-parkway-trail-princeton-tx/dd1htkk/,"{'3 Beds': '$1,225'}"
Brand New 4/2/2 in Princeton!,"1904 Fairbanks Dr,Princeton,TX,75407",https://www.apartments.com/brand-new-4-2-2-in-princeton-princeton-tx/5l0gv2n/,"{'4 Beds': '$1,700'}"
3 Bedroom 2.5 Bath Townhome - Princeton,"706 Parkplace Rdg,Princeton,TX,75407",https://www.apartments.com/3-bedroom-25-bath-townhome-princeton-princeton-tx/vmx9cne/,"{'3 Beds': '$1,200'}"
"4 br, 2 bath House - 1422 Meadow Creek Drive","1422 Meadow Creek Dr,Princeton,TX,75407",https://www.apartments.com/4-br-2-bath-house-1422-meadow-creek-drive-princeton-tx/epgqlnp/,"{'4 Beds': '$1,595'}"
Beautiful Single Family Home,"512 E Willow Ln,Princeton,TX,75407",https://www.apartments.com/beautiful-single-family-home-princeton-tx/dpymebh/,"{'3 Beds': '$1,450'}"
1101-1103 Parkway Trail,"1101-1103 Parkway Trail,Princeton,TX,75407",https://www.apartments.com/1101-1103-parkway-trail-princeton-tx/f2skd3r/,"{'3 Beds': '$1,275'}"
220 Lavaca Dr. - NO PETS,"220 Lavaca Dr,Princeton,TX,75407",https://www.apartments.com/220-lavaca-dr-no-pets-princeton-tx/2z1l69c/,"{'3 Beds': '$1,500'}"
510 E Hazelwood St Unit D,"510 E Hazelwood St,Princeton,TX,75407",https://www.apartments.com/510-e-hazelwood-st-princeton-tx-unit-d/p4syhzr/,"{'3 Beds': '$1,199'}"
"3 br, 2 bath House - 512 E Willow Ln","512 E Willow Ln,Princeton,TX,75407",https://www.apartments.com/3-br-2-bath-house-512-e-willow-ln-princeton-tx/64p40zv/,"{'3 Beds': '$1,450'}"
929 Parkplace Rdg,"929 Parkplace Rdg,Princeton,TX,75407",https://www.apartments.com/929-parkplace-rdg-princeton-tx/d9765xj/,"{'3 Beds': '$1,199'}"
1824 Fairbanks Dr,"1824 Fairbanks Dr,Princeton,TX,75407",https://www.apartments.com/1824-fairbanks-dr-princeton-tx/lhv1z9e/,"{'4 Beds': '$1,725'}"
Brand New 4/2/2 in Princeton,"1904 Fairbanks Dr,Princeton,TX,75407",https://www.apartments.com/brand-new-4-2-2-in-princeton-princeton-tx/ccz57td/,"{'4 Beds': '$1,700'}"
512 E Hazelwood St Unit D,"512 E Hazelwood St,Princeton,TX,75407",https://www.apartments.com/512-e-hazelwood-st-princeton-tx-unit-d/y4rphsr/,"{'3 Beds': '$1,175'}"
1824 Fairbanks Dr,"1824 Fairbanks Dr,Princeton,TX,75407",https://www.apartments.com/1824-fairbanks-dr-princeton-tx/s8e6kx6/,"{'3 Beds': '$1,850'}"
"806 Prairie Creek, Princeton","806 Prairie Creek Dr,Princeton,TX,75407",https://www.apartments.com/806-prairie-creek-princeton-princeton-tx/cvbwj3f/,"{'3 Beds': '$1,195'}"
1117 Rainer Dr,"1117 Rainer Dr,Princeton,TX,75407",https://www.apartments.com/1117-rainer-dr-princeton-tx/g3espjw/,"{'4 Beds': '$1,595'}"
502 E Hazelwood St Unit C,"502 E Hazelwood St,Princeton,TX,75407",https://www.apartments.com/502-e-hazelwood-st-princeton-tx-unit-c/8tesw81/,"{'3 Beds': '$1,250'}"
Buffalo Run,"520 2nd St S,Princeton,TX,75407",https://www.apartments.com/buffalo-run-princeton-tx/kcdqbhb/,"{'1 Bed': '$670', '2 Beds': '$900'}"
Hazelwood Apartments,"500 E Hazelwood St,Princeton,TX,75407",https://www.apartments.com/hazelwood-apartments-princeton-tx/rjwxd20/,{}
Princeton Hazelwood Lofts,"516 E Hazelwood St,Princeton,TX,75407",https://www.apartments.com/princeton-hazelwood-lofts-princeton-tx/mbgy56h/,{}
Yorkshire Place Apartments,"217 Yorkshire Dr,Princeton,TX,75407",https://www.apartments.com/yorkshire-place-apartments-princeton-tx/dsxm1cj/,{}
Stiff Creek Mobile Home Park,"4107 County Rd 463,Princeton,TX,75407",https://www.apartments.com/stiff-creek-mobile-home-park-princeton-tx/7dby1hx/,{}
The Estates Mobile Home Park,"308 Bluegrass Way,Princeton,TX,75407",https://www.apartments.com/the-estates-mobile-home-park-princeton-tx/nym8jkq/,{}
Colonial Terrace Apartments,"165 S 4th St,Princeton,TX,75407",https://www.apartments.com/colonial-terrace-apartments-princeton-tx/gk8r5dx/,{}
