Name,Address,url,Data
Adara Windsong Ranch by Cortland,"4500 Bluestem Dr,Prosper,TX,75078",https://www.apartments.com/adara-windsong-ranch-by-cortland-prosper-tx/e6g8ywm/,"{'1 Bed': '$1,113 – 1,508', '2 Beds': '$1,413 – 1,940', '3 Beds': '$2,057 – 2,157'}"
Orion Prosper,"980 S Coit Rd,Prosper,TX,75078",https://www.apartments.com/orion-prosper-prosper-tx/e03jg6p/,"{'1 Bed': '$839 – 1,853', '2 Beds': '$1,470 – 3,096', '3 Beds': '$1,335 – 3,286'}"
Orion Prosper Lakes,"880 S Coit Rd,Prosper,TX,75078",https://www.apartments.com/orion-prosper-lakes-prosper-tx/k537c2b/,"{'Studio': '$893 – 1,447', '1 Bed': '$893 – 1,832', '2 Beds': '$1,466 – 2,951', '3 Beds': '$1,785 – 2,761', '4 Beds': '$1,995 – 3,151'}"
561 Butterfly Blvd,"Prosper,TX,75078",https://www.apartments.com/561-butterfly-blvd-prosper-tx/7dt2gcw/,"{'4 Beds': '$2,450'}"
940 Westmoreland Dr,"940 Westmoreland Dr,Prosper,TX,75078",https://www.apartments.com/940-westmoreland-dr-prosper-tx/ed6b96n/,"{'3 Beds': '$1,795'}"
15917 Gladewater Terrace,"15917 Gladewater Terrace,Prosper,TX,75078",https://www.apartments.com/15917-gladewater-terrace-prosper-tx/1cqz0k5/,"{'4+ Beds': '$2,800'}"
901 Wind Brook Ln,"901 Wind Brook Ln,Prosper,TX,75078",https://www.apartments.com/901-wind-brook-ln-prosper-tx/f9lxtdt/,"{'4 Beds': '$2,950'}"
16425 Toledo Bend Ct,"16425 Toledo Bend Ct,Prosper,TX,75078",https://www.apartments.com/16425-toledo-bend-ct-prosper-tx/8mnm6k2/,"{'4 Beds': '$2,050'}"
4141 Woodbine Ln,"4141 Woodbine Ln,Prosper,TX,75078",https://www.apartments.com/4141-woodbine-ln-prosper-tx/jky8t85/,"{'4 Beds': '$4,750'}"
16420 Amistad Ave,"16420 Amistad Ave,Prosper,TX,75078",https://www.apartments.com/16420-amistad-ave-prosper-tx/2pg1638/,"{'4 Beds': '$2,250'}"
4308 Salado Creek Way,"4308 Salado Creek Way,Prosper,TX,75078",https://www.apartments.com/4308-salado-creek-way-prosper-tx/gggd0rx/,"{'4 Beds': '$2,595'}"
16001 High Line Drive,"16001 High Line Drive,Prosper,TX,75078",https://www.apartments.com/16001-high-line-drive-prosper-tx/22ft2bc/,"{'4 Beds': '$2,650'}"
1451 Crescent Valley Dr,"1451 Crescent Valley Dr,Prosper,TX,75078",https://www.apartments.com/1451-crescent-valley-dr-prosper-tx/rej0n91/,"{'4+ Beds': '$3,450'}"
2829 Driftwood Creek Trail,"2829 Driftwood Creek Trail,Prosper,TX,75078",https://www.apartments.com/2829-driftwood-creek-trail-prosper-tx/dhwj4fj/,"{'4+ Beds': '$3,295'}"
1250 Saddle Creek Dr,"1250 Saddle Creek Dr,Prosper,TX,75078",https://www.apartments.com/1250-saddle-creek-dr-prosper-tx/8r5syr0/,"{'4 Beds': '$3,195'}"
2150 Nocona Dr,"2150 Nocona Dr,Prosper,TX,75078",https://www.apartments.com/2150-nocona-dr-prosper-tx/xwc705q/,"{'4+ Beds': '$3,300'}"
16621 Amistad Ave,"16621 Amistad Ave,Prosper,TX,75078",https://www.apartments.com/16621-amistad-ave-prosper-tx/h1xhey2/,"{'3 Beds': '$2,100'}"
340 Dianna Dr,"340 Dianna Dr,Prosper,TX,75078",https://www.apartments.com/340-dianna-dr-prosper-tx/c0sjmcd/,"{'4+ Beds': '$3,000'}"
16320 Amistad Ave,"16320 Amistad Ave,Prosper,TX,75078",https://www.apartments.com/16320-amistad-ave-prosper-tx/kg5kvg8/,"{'3 Beds': '$2,100'}"
16701 Spence Park Lane,"16701 Spence Park Lane,Prosper,TX,75078",https://www.apartments.com/16701-spence-park-lane-prosper-tx/4z2nlck/,"{'3 Beds': '$2,195'}"
1951 Coyote Run Prosper,"1951 Coyote Run Prosper,Prosper,TX,75078",https://www.apartments.com/1951-coyote-run-prosper-prosper-tx/v6rfm0g/,"{'4 Beds': '$3,600'}"
213 E Broadway St,"213 E Broadway St,Prosper,TX,75078",https://www.apartments.com/213-e-broadway-st-prosper-tx/1xxg0q6/,"{'3 Beds': '$1,425'}"
1010 Caribou Dr,"1010 Caribou Dr,Prosper,TX,75078",https://www.apartments.com/1010-caribou-dr-prosper-tx/ltb7b0d/,"{'4 Beds': '$3,999'}"
16017 Gladewater Terrace,"16017 Gladewater Terrace,Prosper,TX,75078",https://www.apartments.com/16017-gladewater-terrace-prosper-tx/q3f1pvw/,"{'3 Beds': '$2,395'}"
700 Butchart Dr,"700 Butchart Dr,Prosper,TX,75078",https://www.apartments.com/700-butchart-dr-prosper-tx/77wjkqz/,"{'4 Beds': '$3,300'}"
900 Sabine Dr,"900 Sabine Dr,Prosper,TX,75078",https://www.apartments.com/900-sabine-dr-prosper-tx/47z8bhj/,"{'4 Beds': '$3,200'}"
15617 Piedmont Park Dr,"15617 Piedmont Park Dr,Prosper,TX,75078",https://www.apartments.com/15617-piedmont-park-dr-prosper-tx/rkc2472/,"{'4+ Beds': '$2,650'}"
201 E 6th St,"201 E 6th St,Prosper,TX,75078",https://www.apartments.com/201-e-6th-st-prosper-tx/selw864/,"{'3 Beds': '$1,700'}"
15612 Piedmont Park Dr,"15612 Piedmont Park Dr,Prosper,TX,75078",https://www.apartments.com/15612-piedmont-park-dr-prosper-tx/e4nrzhm/,"{'3 Beds': '$2,100'}"
700 Trail Dr,"700 Trail Dr,Prosper,TX,75078",https://www.apartments.com/700-trail-dr-prosper-tx/wfd7sbk/,"{'4+ Beds': '$2,295'}"
108 N Craig Rd,"108 N Craig Rd,Prosper,TX,75078",https://www.apartments.com/108-n-craig-rd-prosper-tx/h0etcf3/,"{'4 Beds': '$3,500'}"
2140 Palo Duro Dr,"2140 Palo Duro Dr,Prosper,TX,75078",https://www.apartments.com/2140-palo-duro-dr-prosper-tx/6xvdyrr/,"{'4+ Beds': '$3,195'}"
16012 Alvarado Dr,"16012 Alvarado Dr,Prosper,TX,75078",https://www.apartments.com/16012-alvarado-dr-prosper-tx/6y98jdr/,"{'3 Beds': '$1,795'}"
2020 Woodlawn Trail,"2020 Woodlawn Trail,Prosper,TX,75078",https://www.apartments.com/2020-woodlawn-trail-prosper-tx/2n1x7fc/,"{'4 Beds': '$2,650'}"
260 Gorgeous Rd,"260 Gorgeous Rd,Prosper,TX,75078",https://www.apartments.com/260-gorgeous-rd-prosper-tx/jlrmsn7/,"{'3 Beds': '$2,100'}"
1325 Nacona Dr,"1325 Nacona Dr,Prosper,TX,75078",https://www.apartments.com/1325-nacona-dr-prosper-tx/24jt2z8/,"{'3 Beds': '$2,350'}"
10905 Presario Rd,"10905 Presario Rd,Prosper,TX,75078",https://www.apartments.com/10905-presario-rd-prosper-tx/zztb1px/,"{'4+ Beds': '$2,850'}"
1451 Crescent Valley Dr,"1451 Crescent Valley Dr,Prosper,TX,75078",https://www.apartments.com/1451-crescent-valley-dr-prosper-tx/xrwee1n/,"{'4+ Beds': '$3,295'}"
"3 br, 2 bath House - 3777 Fm 1461","3777 FM 1461,Prosper,TX,75078",https://www.apartments.com/3-br-2-bath-house-3777-fm-1461-prosper-tx/yf4nxtr/,"{'3 Beds': '$1,650'}"
"1460 Beacon Hill Drive , Prosper , TX , 75078","1460 Beacon Hill Dr,Prosper,TX,75078",https://www.apartments.com/1460-beacon-hill-drive-prosper-tx-75078-prosper-tx/sdnzbq7/,"{'4 Beds': '$3,395'}"
"4 br, 2.5 bath House - 561 Butterfly Blvd","561 Butterfly Blvd,Prosper,TX,75078",https://www.apartments.com/4-br-25-bath-house-561-butterfly-blvd-prosper-tx/4kmwfjl/,"{'4 Beds': '$2,450'}"
700 Trail Drive,"700 Trail Dr,Prosper,TX,75078",https://www.apartments.com/700-trail-drive-prosper-tx/gmwekpy/,"{'4+ Beds': '$2,295'}"
"3 br, 2 bath House - 920 English Ivy Drive","920 English Ivy Dr,Prosper,TX,75078",https://www.apartments.com/3-br-2-bath-house-920-english-ivy-drive-prosper-tx/chcyvkg/,"{'3 Beds': '$1,895'}"
1714 Ridgewood Dr,"1714 Ridgewood Dr,Prosper,TX,75078",https://www.apartments.com/1714-ridgewood-dr-prosper-tx/zt4v7tw/,"{'3 Beds': '$1,800'}"
2216 Hubbard Park Lane,"2216 Hubbard Park Lane,Prosper,TX,75078",https://www.apartments.com/2216-hubbard-park-lane-prosper-tx/c9r0esf/,"{'4+ Beds': '$3,350'}"
2195 Washington Park Way,"2195 Washington Park Way,Prosper,TX,75078",https://www.apartments.com/2195-washington-park-way-prosper-tx/pbzwl2t/,"{'3 Beds': '$2,075'}"
16420 Amistad,"16420 Amistad Ave,Prosper,TX,75078",https://www.apartments.com/16420-amistad-prosper-tx/c4mvrhd/,"{'4 Beds': '$2,250'}"
12108 Abernathy Cir,"12108 Abernathy Cir,McKinney,TX,75071",https://www.apartments.com/12108-abernathy-cir-mckinney-tx/8vfywm0/,"{'4+ Beds': '$2,500'}"
409 Waterton Drive,"409 Waterton Drive,Anna,TX,75409",https://www.apartments.com/409-waterton-drive-anna-tx/cpprvsd/,"{'4 Beds': '$2,099'}"
601 Barnstorm Dr,"601 Barnstorm Dr,Celina,TX,75009",https://www.apartments.com/601-barnstorm-dr-celina-tx/bfgdj78/,"{'3 Beds': '$2,295'}"
