Name,Address,url,Data
Fiori on Vitruvian Park®,"3990 Vitruvian Way,Addison,TX,75001",https://www.apartments.com/fiori-on-vitruvian-park-addison-tx/9b3gx47/,"{'1 Bed': '$1,261 – 2,591', '2 Beds': '$1,752 – 6,565', '3 Beds': '$2,795 – 6,108'}"
Addison Apartments at the Park,"3925 Vitruvian Way,Addison,TX,75001",https://www.apartments.com/addison-apartments-at-the-park-addison-tx/bxgevqb/,"{'Studio': '$736 – 2,021', '1 Bed': '$773 – 2,113', '2 Beds': '$980 – 3,085', '3 Beds': 'Call for Rent'}"
Savoye,"3850 Vitruvian Way,Addison,TX,75001",https://www.apartments.com/savoye-addison-tx/0h19yn2/,"{'Studio': '$981 – 2,066', '1 Bed': '$1,075 – 2,725', '2 Beds': '$1,526 – 5,310'}"
Vitruvian West,"3801 Vitruvian Way,Addison,TX,75001",https://www.apartments.com/vitruvian-west-addison-tx/7jv2r7z/,"{'Studio': '$1,075 – 1,715', '1 Bed': '$1,361 – 1,702', '2 Beds': '$1,756 – 2,730', '3 Beds': 'Call for Rent'}"
Post Addison Circle,"5009 Addison Cir,Addison,TX,75001",https://www.apartments.com/post-addison-circle-addison-tx/39b587f/,"{'Studio': '$975 – 1,975', '1 Bed': '$1,090 – 2,090', '2 Beds': '$1,460 – 2,505', '3 Beds': '$1,940 – 2,755'}"
15777 Quorum by Cortland,"15777 Quorum Dr,Addison,TX,75001",https://www.apartments.com/15777-quorum-by-cortland-addison-tx/86z7c83/,"{'1 Bed': '$1,043 – 1,790', '2 Beds': '$1,589 – 1,939'}"
Lakeview At Parkside,"3950-3990 Spring Valley Rd,Farmers Branch,TX,75244",https://www.apartments.com/lakeview-at-parkside-farmers-branch-tx/8yj9910/,"{'1 Bed': '$989 – 1,266', '2 Beds': '$1,253 – 1,748', '3 Beds': '$1,809 – 2,052'}"
Villas At Parkside,"4000 Parkside Center Blvd,Farmers Branch,TX,75244",https://www.apartments.com/villas-at-parkside-farmers-branch-tx/nd375yq/,"{'1 Bed': '$1,369 – 1,596', '2 Beds': '$1,617 – 2,243'}"
IMT Prestonwood,"15480 Dallas Pky,Dallas,TX,75248",https://www.apartments.com/imt-prestonwood-dallas-tx/kvrh35c/,"{'1 Bed': '$1,200 – 1,585', '2 Beds': '$1,750 – 2,095'}"
Brookhaven,"14833 Marsh Ln,Farmers Branch,TX,75234",https://www.apartments.com/brookhaven-farmers-branch-tx/dwmkykj/,"{'1 Bed': '$875 – 965', '2 Beds': '$1,114 – 1,215'}"
Addison Keller Springs,"4800 Keller Springs Rd,Addison,TX,75001",https://www.apartments.com/addison-keller-springs-addison-tx/4rzm0vj/,"{'1 Bed': '$1,094 – 1,681', '2 Beds': '$1,479 – 2,002'}"
Waterford Court Apartments,"14700 Marsh Ln,Addison,TX,75001",https://www.apartments.com/waterford-court-apartments-addison-tx/b38hl18/,"{'1 Bed': '$1,395 – 1,425', '2 Beds': '$1,580 – 1,840', '3 Beds': '$1,855 – 2,160'}"
Camden Addison,"17200 Westgrove Dr,Addison,TX,75001",https://www.apartments.com/camden-addison-addison-tx/xgewdsn/,"{'1 Bed': '$959 – 1,129', '2 Beds': '$1,279 – 1,599'}"
Bent Tree Trails Apartments,"16300 Ledgemont Ln,Addison,TX,75001",https://www.apartments.com/bent-tree-trails-apartments-addison-tx/k8cf7s8/,"{'Studio': '$1,035', '1 Bed': '$1,085 – 1,380', '2 Beds': '$1,675 – 1,740'}"
Communities of Bent Tree,"4820 Westgrove Dr,Addison,TX,75001",https://www.apartments.com/communities-of-bent-tree-addison-tx/f3xjpct/,"{'1 Bed': '$915 – 1,320', '2 Beds': '$1,265 – 1,725', '3 Beds': '$1,735'}"
Bent Tree Park Apartments,"4500 Sojourn Dr,Addison,TX,75001",https://www.apartments.com/bent-tree-park-apartments-addison-tx/0v5xy90/,"{'1 Bed': '$860 – 1,019', '2 Beds': '$960 – 1,290', '3 Beds': '$1,460 – 1,575'}"
Kensington Square Apartments,"15935 Knoll Trl,Dallas,TX,75248",https://www.apartments.com/kensington-square-apartments-dallas-tx/ftnvrys/,"{'1 Bed': '$895 – 1,305', '2 Beds': '$1,280 – 1,960'}"
Jade Addison,"3721 Spring Valley Rd,Addison,TX,75001",https://www.apartments.com/jade-addison-addison-tx/rb6wv72/,"{'1 Bed': '$910 – 975', '2 Beds': '$1,185 – 1,250'}"
Allegro Addison Circle,"15750 Spectrum Dr,Addison,TX,75001",https://www.apartments.com/allegro-addison-circle-addison-tx/r2e2cj2/,"{'Studio': '$1,152 – 2,112', '1 Bed': '$1,173 – 2,096', '2 Beds': '$1,558 – 3,318'}"
Walnut Square Townhomes,"4051 Beltway Dr,Addison,TX,75001",https://www.apartments.com/walnut-square-townhomes-addison-tx/1tbce85/,"{'2 Beds': '$1,575 – 1,675'}"
Trinity Village Apartments,"4280 Trinity Mills Rd,Dallas,TX,75287",https://www.apartments.com/trinity-village-apartments-dallas-tx/1782zb5/,"{'1 Bed': '$720 – 1,470', '2 Beds': '$1,075 – 1,795'}"
Advenir on Addison,"17671 Addison Rd,Dallas,TX,75287",https://www.apartments.com/advenir-on-addison-dallas-tx/g8l97lw/,"{'1 Bed': '$1,109 – 1,369', '2 Beds': '$1,270 – 1,367'}"
Chateau De Ville,"4040 Spring Valley Rd,Farmers Branch,TX,75244",https://www.apartments.com/chateau-de-ville-farmers-branch-tx/9fn43w5/,"{'1 Bed': '$1,110 – 1,454', '2 Beds': '$1,472 – 2,100'}"
3920 Amberwood Dr,"3920 Amberwood Dr,Addison,TX,75001",https://www.apartments.com/3920-amberwood-dr-addison-tx/5n3kysn/,"{'3 Beds': '$2,450'}"
5029 Morris Ave,"5029 Morris Ave,Addison,TX,75001",https://www.apartments.com/5029-morris-ave-addison-tx/l8rqc4f/,"{'3 Beds': '$2,700'}"
15814 Breedlove Pl Unit 137,"15814 Breedlove Pl,Addison,TX,75001",https://www.apartments.com/15814-breedlove-pl-addison-tx-unit-137/jmntkm5/,"{'2 Beds': '$2,195'}"
3834 Canot Ln,"3834 Canot Ln,Addison,TX,75001",https://www.apartments.com/3834-canot-ln-addison-tx/bcvdmzc/,"{'3 Beds': '$3,250'}"
3756 Woodshadow Ln,"3756 Woodshadow Ln,Addison,TX,75001",https://www.apartments.com/3756-woodshadow-ln-addison-tx/rmej002/,"{'4 Beds': '$2,500'}"
15814 Breedlove Pl,"15814 Breedlove Pl,Addison,TX,75001",https://www.apartments.com/15814-breedlove-pl-addison-tx/4z4se6l/,"{'2 Beds': '$2,150'}"
3718 Vitruvian Way,"3718 Vitruvian Way,Addison,TX,75001",https://www.apartments.com/3718-vitruvian-way-addison-tx/f1kfz2s/,"{'3 Beds': '$3,995'}"
Short Term Nicely Furnished,"3740 Vitruvian Way,Addison,TX,75001",https://www.apartments.com/short-term-nicely-furnished-addison-tx/f9s79zs/,"{'2 Beds': '$3,495'}"
Furnished Addison Townhouse,"3754 Vitruvian Way,Addison,TX,75001",https://www.apartments.com/furnished-addison-townhouse-addison-tx/rw4rbm2/,"{'2 Beds': '$3,495'}"
16301 Ledgemont Ln Unit 176,"16301 Ledgemont Ln,Addison,TX,75001",https://www.apartments.com/16301-ledgemont-ln-addison-tx-unit-176/jb611r4/,"{'2 Beds': '$1,525'}"
15753 Seabolt Pl Unit 47,"15753 Seabolt Pl,Addison,TX,75001",https://www.apartments.com/15753-seabolt-pl-addison-tx-unit-47/zy8dd9x/,"{'2 Beds': '$2,295'}"
Communities of Bent Tree,"4815 Westgrove Dr,Addison,TX,75001",https://www.apartments.com/communities-of-bent-tree-addison-tx/ptjcrts/,"{'1 Bed': '$1,030 – 1,155', '2 Beds': '$1,405', '3 Beds': '$1,680 – 1,790'}"
Brent Tree Fountians,"16400 Ledgemont Ln,Addison,TX,75001",https://www.apartments.com/brent-tree-fountians-addison-tx/bm2wk6b/,"{'1 Bed': '$1,085 – 1,090', '2 Beds': '$1,265 – 1,505', '3 Beds': '$1,730'}"
5200 Keller Springs Rd Unit 1437,"5200 Keller Springs Rd,Dallas,TX,75248",https://www.apartments.com/5200-keller-springs-rd-dallas-tx-unit-1437/01b74r1/,"{'2 Beds': '$2,950'}"
5200 Keller Springs Rd Unit 837,"5200 Keller Springs Rd,Dallas,TX,75248",https://www.apartments.com/5200-keller-springs-rd-dallas-tx-unit-837/mnsyfnh/,"{'2 Beds': '$2,600'}"
Addison Grove,"4150 Belt Line Rd,Addison,TX,75001",https://www.apartments.com/addison-grove-addison-tx/tqt8sl8/,{}
Meridian Square,"5000 Meridian Ln,Addison,TX,75001",https://www.apartments.com/meridian-square-addison-tx/f2ld2es/,{}
AMLI Addison,"15250 Quorum Dr,Addison,TX,75001",https://www.apartments.com/amli-addison-addison-tx/6l5zsvr/,{}
