Name,Address,url,Data
Enclave on Pioneer,"4614 Pioneer Rd,Balch Springs,TX,75180",https://www.apartments.com/enclave-on-pioneer-balch-springs-tx/h853e62/,"{'Studio': '$650', '1 Bed': '$645 – 790', '2 Beds': '$975 – 1,015', '3 Beds': '$1,100'}"
Stoneleigh on Cartwright,"500 W Cartwright Rd,Balch Springs,TX,75180",https://www.apartments.com/stoneleigh-on-cartwright-balch-springs-tx/tzjzlw8/,"{'1 Bed': '$955 – 1,060', '2 Beds': '$1,108 – 1,267', '3 Beds': '$1,545 – 1,570'}"
Strawberry Hill,"800 W Cartwright Rd,Mesquite,TX,75149",https://www.apartments.com/strawberry-hill-mesquite-tx/r7y02k1/,"{'1 Bed': '$779 – 809', '2 Beds': '$889 – 929'}"
Arroyo Vista Estates,"1600 Hickory Tree Rd,Mesquite,TX,75149",https://www.apartments.com/arroyo-vista-estates-mesquite-tx/l7pbnke/,"{'1 Bed': '$695', '2 Beds': '$780 – 795', '3 Beds': '$865'}"
12224 Bishop Dr,"Balch Springs,TX,75180",https://www.apartments.com/12224-bishop-dr-balch-springs-tx/rnzhby2/,"{'3 Beds': '$1,300'}"
4633 Timbercrest Way,"4633 Timbercrest Way,Balch Springs,TX,75180",https://www.apartments.com/4633-timbercrest-way-balch-springs-tx/4rm9l7h/,"{'3 Beds': '$1,595'}"
14516 Briarcrest Dr,"14516 Briarcrest Dr,Balch Springs,TX,75180",https://www.apartments.com/14516-briarcrest-dr-balch-springs-tx/hs8ny51/,"{'3 Beds': '$1,375'}"
12308 Duke Dr,"12308 Duke Dr,Balch Springs,TX,75180",https://www.apartments.com/12308-duke-dr-balch-springs-tx/8bhpjs1/,"{'3 Beds': '$1,175'}"
3324 Knoll Tr,"3324 Knoll Tr,Balch Springs,TX,75180",https://www.apartments.com/3324-knoll-tr-balch-springs-tx/h6q6gv3/,"{'4 Beds': '$1,650'}"
14861 Ledgeview Ct,"14861 Ledgeview Ct,Balch Springs,TX,75180",https://www.apartments.com/14861-ledgeview-ct-balch-springs-tx/1lcbnh7/,"{'4 Beds': '$1,475'}"
13121 Rustic Cir,"13121 Rustic Cir,Balch Springs,TX,75180",https://www.apartments.com/13121-rustic-cir-balch-springs-tx/tl8n0h8/,"{'3 Beds': '$1,350'}"
14500 Oakwood Ln,"14500 Oakwood Ln,Balch Springs,TX,75180",https://www.apartments.com/14500-oakwood-ln-balch-springs-tx/fenml1r/,"{'3 Beds': '$1,495'}"
11224 Trail Ln,"11224 Trail Ln,Balch Springs,TX,75180",https://www.apartments.com/11224-trail-ln-balch-springs-tx/0yezm72/,"{'3 Beds': '$1,350'}"
4800 Rimwood Dr,"4800 Rimwood Dr,Balch Springs,TX,75180",https://www.apartments.com/4800-rimwood-dr-balch-springs-tx/95vzpy6/,"{'4 Beds': '$1,800'}"
4804 Rimwood Dr. Balch SpringsTX 75180,"4804 Rimwood Dr,Balch Springs,TX,75180",https://www.apartments.com/4804-rimwood-dr-balch-springstx-75180-balch-springs-tx/sqcbxc4/,"{'4 Beds': '$1,650'}"
3836 Kenzie Ct,"3836 Kenzie Ct,Balch Springs,TX,75180",https://www.apartments.com/3836-kenzie-ct-balch-springs-tx/s25qqq5/,"{'3 Beds': '$1,600'}"
