Name,Address,url,Data
Union At Carrollton Square Apartments,"1111 S Main St,Carrollton,TX,75006",https://www.apartments.com/union-at-carrollton-square-apartments-carrollton-tx/4x9798l/,"{'1 Bed': '$1,091 – 1,437', '2 Beds': '$1,287 – 1,872'}"
Carrollton Oaks,"2500 Guerrero Dr,Carrollton,TX,75006",https://www.apartments.com/carrollton-oaks-carrollton-tx/gzvjdkz/,"{'1 Bed': '$815 – 870', '2 Beds': '$940 – 1,150'}"
Ventana @ Valwood,"14221 Heritage Cir,Farmers Branch,TX,75234",https://www.apartments.com/ventana-valwood-farmers-branch-tx/g6h9j0z/,"{'1 Bed': '$899 – 999', '2 Beds': '$1,099 – 1,399', '3 Beds': '$1,399 – 1,549'}"
Ashford,"2116 Marsh Ln,Carrollton,TX,75006",https://www.apartments.com/ashford-carrollton-tx/sl5x617/,"{'1 Bed': '$955 – 1,475', '2 Beds': '$1,355 – 1,765'}"
Embry,"2210 Marsh Ln,Carrollton,TX,75006",https://www.apartments.com/embry-carrollton-tx/pvvfxcv/,"{'1 Bed': '$985 – 1,395', '2 Beds': '$1,245 – 1,625'}"
Trinity Mills,"2750 E Trinity Mills Rd,Carrollton,TX,75006",https://www.apartments.com/trinity-mills-carrollton-tx/yjv3bgr/,"{'1 Bed': '$775 – 1,370', '2 Beds': '$1,035 – 1,885'}"
Keller Springs Crossing,"3221 Keller Springs Rd,Carrollton,TX,75006",https://www.apartments.com/keller-springs-crossing-carrollton-tx/x3ckyzn/,"{'1 Bed': '$1,090 – 1,490', '2 Beds': '$1,690 – 1,750', '3 Beds': 'Call for Rent'}"
Branch Creek Apartments,"2250 Marsh Ln,Carrollton,TX,75006",https://www.apartments.com/branch-creek-apartments-carrollton-tx/glt8tbz/,"{'1 Bed': '$875 – 975', '2 Beds': '$1,195 – 1,340'}"
Cooks Creek,"2706 Cookscreek Pl,Farmers Branch,TX,75234",https://www.apartments.com/cooks-creek-farmers-branch-tx/hrldzx2/,"{'1 Bed': '$680 – 834', '2 Beds': '$989 – 1,124', '3 Beds': '$1,219 – 1,254'}"
Windsong,"17717 Vail St,Dallas,TX,75287",https://www.apartments.com/windsong-dallas-tx/p3ht0jt/,"{'1 Bed': '$803 – 1,392', '2 Beds': '$1,249 – 1,828'}"
Briarcrest Apartments,"1330 Mac Arthur Dr,Carrollton,TX,75007",https://www.apartments.com/briarcrest-apartments-carrollton-tx/e1n2qyn/,"{'2 Beds': '$1,040 – 2,123'}"
Green Tree,"1120 Mac Arthur Dr,Carrollton,TX,75007",https://www.apartments.com/green-tree-carrollton-tx/047d2l0/,"{'1 Bed': '$911 – 1,128', '2 Beds': '$1,221 – 1,440'}"
Camden Addison,"17200 Westgrove Dr,Addison,TX,75001",https://www.apartments.com/camden-addison-addison-tx/xgewdsn/,"{'1 Bed': '$959 – 1,129', '2 Beds': '$1,279 – 1,599'}"
Ladera,"3901-3930 Accent Dr,Dallas,TX,75287",https://www.apartments.com/ladera-dallas-tx/pm8p44r/,"{'1 Bed': '$965 – 1,085', '2 Beds': '$1,315 – 1,520', '3 Beds': '$1,575'}"
Azure Urban Living,"17617 Midway Rd,Dallas,TX,75287",https://www.apartments.com/azure-urban-living-dallas-tx/34f75mg/,"{'1 Bed': '$765 – 925', '2 Beds': '$1,105 – 1,120'}"
Woods at Lakeshore,"3560 Country Square Dr,Carrollton,TX,75006",https://www.apartments.com/woods-at-lakeshore-carrollton-tx/bgc3k19/,"{'1 Bed': '$1,192 – 1,272', '2 Beds': '$1,097 – 1,247'}"
Sevilla Condos,"1455 N Perry Rd,Carrollton,TX,75006",https://www.apartments.com/sevilla-condos-carrollton-tx/qnwem8z/,"{'1 Bed': '$880', '2 Beds': 'Call for Rent'}"
