Name,Address,url,Data
The Hangar,"201 S Clark Rd,Cedar Hill,TX,75104",https://www.apartments.com/the-hangar-cedar-hill-tx/j0fcwl5/,"{'1 Bed': '$750 – 875', '2 Beds': '$880 – 1,009', '3 Beds': '$975 – 1,100'}"
Wilson Crossing,"301 N Joe Wilson Rd,Cedar Hill,TX,75104",https://www.apartments.com/wilson-crossing-cedar-hill-tx/ldnee1e/,"{'1 Bed': '$917 – 1,091', '2 Beds': '$1,131 – 1,409'}"
Legacy of Cedar Hill,"720 N Joe Wilson Rd,Cedar Hill,TX,75104",https://www.apartments.com/legacy-of-cedar-hill-cedar-hill-tx/r3y8kp0/,"{'1 Bed': '$930 – 1,025', '2 Beds': '$1,154 – 1,272', '3 Beds': '$1,347 – 1,552'}"
Midtown Cedar Hill Apartments,"365 Uptown Blvd,Cedar Hill,TX,75104",https://www.apartments.com/midtown-cedar-hill-apartments-cedar-hill-tx/ewx3jcn/,"{'1 Bed': '$1,090 – 1,430', '2 Beds': '$1,632 – 2,852', '3 Beds': '$2,054 – 2,131'}"
The Cedars,"319 Cedar St,Cedar Hill,TX,75104",https://www.apartments.com/the-cedars-cedar-hill-tx/0blej42/,"{'1 Bed': '$725', '2 Beds': '$900'}"
633 Gibson St,"633 Gibson St,Cedar Hill,TX,75104",https://www.apartments.com/633-gibson-st-cedar-hill-tx/efh33tq/,"{'3 Beds': '$1,550'}"
204 Meadowbrooke Dr,"204 Meadowbrooke Dr,Cedar Hill,TX,75104",https://www.apartments.com/204-meadowbrooke-dr-cedar-hill-tx/ym7l7dv/,"{'3 Beds': '$1,650'}"
706 Monique Ct,"706 Monique Ct,Cedar Hill,TX,75104",https://www.apartments.com/706-monique-ct-cedar-hill-tx/6vzyn0v/,"{'3 Beds': '$1,400'}"
125 Sheffield Dr,"125 Sheffield Dr,Cedar Hill,TX,75104",https://www.apartments.com/125-sheffield-dr-cedar-hill-tx/6323dvr/,"{'3 Beds': '$1,449'}"
702 Berry Ln,"702 Berry Ln,Cedar Hill,TX,75104",https://www.apartments.com/702-berry-ln-cedar-hill-tx/1yg6cl4/,"{'2 Beds': '$1,250'}"
312 Hickerson St Unit G,"312 Hickerson St,Cedar Hill,TX,75104",https://www.apartments.com/312-hickerson-st-cedar-hill-tx-unit-g/1pl4qc5/,{'2 Beds': '$850'}
1587 Jesse Ramsey Blvd,"1587 Jesse Ramsey Blvd,Cedar Hill,TX,75104",https://www.apartments.com/1587-jesse-ramsey-blvd-cedar-hill-tx/9k2dle6/,"{'4+ Beds': '$1,950'}"
309 Breseman St,"309 Breseman St,Cedar Hill,TX,75104",https://www.apartments.com/309-breseman-st-cedar-hill-tx/jl5mkz6/,"{'3 Beds': '$1,749'}"
714 Hillcrest Ct,"714 Hillcrest Ct,Cedar Hill,TX,75104",https://www.apartments.com/714-hillcrest-ct-cedar-hill-tx/spp6je5/,"{'2 Beds': '$1,000'}"
1119 Grounds Rd,"1119 Grounds Rd,Cedar Hill,TX,75104",https://www.apartments.com/1119-grounds-rd-cedar-hill-tx/ms83n7j/,"{'3 Beds': '$1,350'}"
446 Kenya St,"446 Kenya St,Cedar Hill,TX,75104",https://www.apartments.com/446-kenya-st-cedar-hill-tx/7s9bedz/,"{'3 Beds': '$1,295'}"
1486 Summers Dr,"1486 Summers Dr,Cedar Hill,TX,75104",https://www.apartments.com/1486-summers-dr-cedar-hill-tx/c5fnp5g/,"{'3 Beds': '$1,400'}"
1301 E Miller Dr,"1301 E Miller Dr,Cedar Hill,TX,75104",https://www.apartments.com/1301-e-miller-dr-cedar-hill-tx/veezfte/,"{'4 Beds': '$2,100'}"
1315 Hayes St,"1315 Hayes St,Cedar Hill,TX,75104",https://www.apartments.com/1315-hayes-st-cedar-hill-tx/5ht1vbp/,"{'3 Beds': '$1,595'}"
421 Rainier St,"421 Rainier St,Cedar Hill,TX,75104",https://www.apartments.com/421-rainier-st-cedar-hill-tx/f5prb6t/,"{'3 Beds': '$1,495'}"
1534 High Pointe Ln,"1534 High Pointe Ln,Cedar Hill,TX,75104",https://www.apartments.com/1534-high-pointe-ln-cedar-hill-tx/bslstgb/,"{'3 Beds': '$1,595'}"
903 Dawson St,"903 Dawson St,Cedar Hill,TX,75104",https://www.apartments.com/903-dawson-st-cedar-hill-tx/pcr5rpv/,"{'3 Beds': '$1,600'}"
1080 Magnolia Ln,"1080 Magnolia Ln,Cedar Hill,TX,75104",https://www.apartments.com/1080-magnolia-ln-cedar-hill-tx/1qt8qm4/,"{'4 Beds': '$1,750'}"
932 Crestwood Dr,"932 Crestwood Dr,Cedar Hill,TX,75104",https://www.apartments.com/932-crestwood-dr-cedar-hill-tx/j6zly16/,"{'3 Beds': '$1,620'}"
713 Lovern St,"713 Lovern St,Cedar Hill,TX,75104",https://www.apartments.com/713-lovern-st-cedar-hill-tx/6mpy4ss/,"{'3 Beds': '$1,550'}"
608 Finley St,"608 Finley St,Cedar Hill,TX,75104",https://www.apartments.com/608-finley-st-cedar-hill-tx/cxgedxf/,"{'3 Beds': '$1,725'}"
1119 Brewer Dr,"1119 Brewer Dr,Cedar Hill,TX,75104",https://www.apartments.com/1119-brewer-dr-cedar-hill-tx/wbk0lxk/,"{'3 Beds': '$1,610'}"
724 Ballard St,"724 Ballard St,Cedar Hill,TX,75104",https://www.apartments.com/724-ballard-st-cedar-hill-tx/rr79ym0/,"{'2 Beds': '$1,250'}"
416 Matterhorn St,"416 Matterhorn St,Cedar Hill,TX,75104",https://www.apartments.com/416-matterhorn-st-cedar-hill-tx/z84m6hy/,"{'3 Beds': '$1,371'}"
1040 Glencrest Dr,"1040 Glencrest Dr,Cedar Hill,TX,75104",https://www.apartments.com/1040-glencrest-dr-cedar-hill-tx/hwp1tk3/,"{'3 Beds': '$1,555'}"
309 W Little Creek Rd,"309 W Little Creek Rd,Cedar Hill,TX,75104",https://www.apartments.com/309-w-little-creek-rd-cedar-hill-tx/cwp02ze/,"{'3 Beds': '$1,350'}"
755 Cedarwood Dr,"755 Cedarwood Dr,Cedar Hill,TX,75104",https://www.apartments.com/755-cedarwood-dr-cedar-hill-tx/zmw6mbw/,"{'4 Beds': '$1,895'}"
728 Lovern St,"728 Lovern St,Cedar Hill,TX,75104",https://www.apartments.com/728-lovern-st-cedar-hill-tx/sbl36p5/,"{'3 Beds': '$1,795'}"
153 Hunter Dr,"153 Hunter Dr,Cedar Hill,TX,75104",https://www.apartments.com/153-hunter-dr-cedar-hill-tx/5z4z37p/,"{'3 Beds': '$1,650'}"
1301 Burleson St,"1301 Burleson St,Cedar Hill,TX,75104",https://www.apartments.com/1301-burleson-st-cedar-hill-tx/q9zhesy/,"{'3 Beds': '$1,630'}"
1205 Dandelion Dr,"1205 Dandelion Dr,Cedar Hill,TX,75104",https://www.apartments.com/1205-dandelion-dr-cedar-hill-tx/3xe49pe/,"{'3 Beds': '$1,660'}"
541 King St,"541 King St,Cedar Hill,TX,75104",https://www.apartments.com/541-king-st-cedar-hill-tx/nrg8e9q/,"{'3 Beds': '$1,675'}"
420 Whitney St,"420 Whitney St,Cedar Hill,TX,75104",https://www.apartments.com/420-whitney-st-cedar-hill-tx/wemknbh/,"{'3 Beds': '$1,395'}"
310 Kirk Ln,"310 Kirk Ln,Cedar Hill,TX,75104",https://www.apartments.com/310-kirk-ln-cedar-hill-tx/2se0qpc/,"{'4 Beds': '$1,785'}"
1528 Holveck Dr,"1528 Holveck Dr,Cedar Hill,TX,75104",https://www.apartments.com/1528-holveck-dr-cedar-hill-tx/h43y3k1/,"{'4 Beds': '$1,995'}"
2202 Janet Ct,"2202 Janet Ct,Cedar Hill,TX,75104",https://www.apartments.com/2202-janet-ct-cedar-hill-tx/5qvcmsq/,"{'4+ Beds': '$4,500'}"
652 Lowe Dr,"652 Lowe Dr,Cedar Hill,TX,75104",https://www.apartments.com/652-lowe-dr-cedar-hill-tx/md7cprl/,"{'4 Beds': '$1,900'}"
418 McKinley St,"418 McKinley St,Cedar Hill,TX,75104",https://www.apartments.com/418-mckinley-st-cedar-hill-tx/nj1vk5n/,"{'3 Beds': '$1,500'}"
1157 Calvert Dr,"1157 Calvert Dr,Cedar Hill,TX,75104",https://www.apartments.com/1157-calvert-dr-cedar-hill-tx/lh9sr6e/,"{'3 Beds': '$1,395'}"
Windsor Park Garden Addition Cedar Hill!,"940 Crestwood Dr,Cedar Hill,TX,75104",https://www.apartments.com/windsor-park-garden-addition-cedar-hill-cedar-hill-tx/1fqn227/,"{'3 Beds': '$1,400'}"
512 Pico St,"512 Pico St,Cedar Hill,TX,75104",https://www.apartments.com/512-pico-st-cedar-hill-tx/19qr026/,"{'3 Beds': '$1,495'}"
314 Sweetgum Drive,"314 Sweetgum Dr,Cedar Hill,TX,75104",https://www.apartments.com/314-sweetgum-drive-cedar-hill-tx/zyxf7rx/,"{'4 Beds': '$1,750'}"
"3 br, 2 bath House - 1315 Hayes St","1315 Hayes St,Cedar Hill,TX,75104",https://www.apartments.com/3-br-2-bath-house-1315-hayes-st-cedar-hill-tx/ct653nf/,"{'3 Beds': '$1,595'}"
Beautiful home in Cedar Hill,"421 Rainier St,Cedar Hill,TX,75104",https://www.apartments.com/beautiful-home-in-cedar-hill-cedar-hill-tx/2de8y19/,"{'3 Beds': '$1,495'}"
755 Cedarwood Drive,"755 Cedarwood Dr,Cedar Hill,TX,75104",https://www.apartments.com/755-cedarwood-drive-cedar-hill-tx/2ewsfkc/,"{'4 Beds': '$1,895'}"
"3 br, 2 bath House - 713 Lovern Street","713 Lovern St,Cedar Hill,TX,75104",https://www.apartments.com/3-br-2-bath-house-713-lovern-street-cedar-hill-tx/ch7hxxf/,"{'3 Beds': '$1,550'}"
925 Larue Drive,"925 Larue Dr,Cedar Hill,TX,75104",https://www.apartments.com/925-larue-drive-cedar-hill-tx/gtjhdsx/,"{'3 Beds': '$1,550'}"
724 King St,"724 King St,Cedar Hill,TX,75104",https://www.apartments.com/724-king-st-cedar-hill-tx/lmf2q9g/,"{'3 Beds': '$1,475'}"
724 King St,"724 King St,Cedar Hill,TX,75104",https://www.apartments.com/724-king-st-cedar-hill-tx/pcjxr4v/,"{'3 Beds': '$1,475'}"
422 Beard Dr,"422 Beard Dr,Cedar Hill,TX,75104",https://www.apartments.com/422-beard-dr-cedar-hill-tx/53e9hem/,"{'3 Beds': '$1,350'}"
Cozy 3/1.5/1 Home in Cedar Hill For Rent!,"309 W Little Creek Rd,Cedar Hill,TX,75104",https://www.apartments.com/cozy-3-15-1-home-in-cedar-hill-for-rent-cedar-hill-tx/zpvcr2z/,"{'3 Beds': '$1,350'}"
Nice 3/2/2 in Cedar Hill For Rent!,"713 Lovern St,Cedar Hill,TX,75104",https://www.apartments.com/nice-3-2-2-in-cedar-hill-for-rent-cedar-hill-tx/z4drn6w/,"{'3 Beds': '$1,550'}"
1312 Greenleaf Court,"1312 Greenleaf Ct,Cedar Hill,TX,75104",https://www.apartments.com/1312-greenleaf-court-cedar-hill-tx/7bnxp5y/,"{'3 Beds': '$1,650'}"
"2 br, 2 bath House - 309 W. Little Creek Road","309 W Little Creek Rd,Cedar Hill,TX,75104",https://www.apartments.com/2-br-2-bath-house-309-w-little-creek-road-cedar-hill-tx/7qjbtbx/,"{'2 Beds': '$1,350'}"
728 Lovern St,"728 Lovern St,Cedar Hill,TX,75104",https://www.apartments.com/728-lovern-st-cedar-hill-tx/5jhpxgp/,"{'3 Beds': '$1,795'}"
"4 br, 2.5 bath House - 652 Lowe Dr","652 Lowe Dr,Cedar Hill,TX,75104",https://www.apartments.com/4-br-25-bath-house-652-lowe-dr-cedar-hill-tx/pcjw6ft/,"{'4 Beds': '$1,900'}"
1049 Waterview Drive,"1049 Waterview Dr,Cedar Hill,TX,75104",https://www.apartments.com/1049-waterview-drive-cedar-hill-tx/zlhez2y/,"{'4 Beds': '$1,995'}"
"3 br, 2.5 bath House - 153 Hunter Drive","153 Hunter Dr,Cedar Hill,TX,75104",https://www.apartments.com/3-br-25-bath-house-153-hunter-drive-cedar-hill-tx/0tvfch2/,"{'3 Beds': '$1,650'}"
1218 Sullivan Dr,"1218 Sullivan Dr,Cedar Hill,TX,75104",https://www.apartments.com/1218-sullivan-dr-cedar-hill-tx/mbcr77l/,"{'3 Beds': '$1,715'}"
1218 Sullivan Dr,"1218 Sullivan Dr,Cedar Hill,TX,75104",https://www.apartments.com/1218-sullivan-dr-cedar-hill-tx/vtg6g5g/,"{'3 Beds': '$1,715'}"
425 Jones St,"425 Jones St,Cedar Hill,TX,75104",https://www.apartments.com/425-jones-st-cedar-hill-tx/ly0z0yg/,"{'2 Beds': '$1,040'}"
811 Bray St,"811 Bray St,Cedar Hill,TX,75104",https://www.apartments.com/811-bray-st-cedar-hill-tx/3yzhg8f/,"{'3 Beds': '$1,645'}"
410 Wolfe St,"410 Wolfe St,Cedar Hill,TX,75104",https://www.apartments.com/410-wolfe-st-cedar-hill-tx/blfgz39/,"{'3 Beds': '$1,755'}"
