Name,Address,url,Data
St. Marin,"1717 E Beltline Rd,Coppell,TX,75019",https://www.apartments.com/st-marin-coppell-tx/3mldpde/,"{'1 Bed': '$1,000 – 1,462', '2 Beds': '$1,401 – 1,925', '3 Beds': '$1,974 – 2,388'}"
Villas Of Vista Ridge,"351 State Highway 121,Lewisville,TX,75067",https://www.apartments.com/villas-of-vista-ridge-lewisville-tx/t9ye27c/,"{'1 Bed': '$1,011 – 1,834', '2 Beds': '$1,094 – 1,899', '3 Beds': '$1,649 – 2,413'}"
Ballantyne,"2801 Denton Tap Rd,Lewisville,TX,75067",https://www.apartments.com/ballantyne-lewisville-tx/h09esc3/,"{'1 Bed': '$1,022 – 1,396', '2 Beds': '$1,203 – 1,857', '3 Beds': '$1,588 – 1,855'}"
The Club at Riverchase,"1315 Riverchase Dr,Coppell,TX,75019",https://www.apartments.com/the-club-at-riverchase-coppell-tx/z59xpgw/,"{'1 Bed': '$1,005 – 1,495', '2 Beds': '$1,270 – 2,175', '3 Beds': '$1,670 – 2,810'}"
The District - Scotch Creek,"3211 Scotch Creek Rd,Coppell,TX,75019",https://www.apartments.com/the-district-scotch-creek-coppell-tx/e4bgc4m/,"{'1 Bed': '$1,045 – 1,865', '2 Beds': '$1,850 – 2,925'}"
Lakeside at Coppell,"620 N Coppell Rd,Coppell,TX,75019",https://www.apartments.com/lakeside-at-coppell-coppell-tx/hh525c3/,"{'1 Bed': '$1,103 – 1,612', '2 Beds': '$1,444 – 2,865', '3 Beds': '$2,297 – 3,219', '4 Beds': '$2,714 – 4,916'}"
The Neighborhoods at The Sound,"3333 Bleecker St,Dallas,TX,75019",https://www.apartments.com/the-neighborhoods-at-the-sound-dallas-tx/4lwx78j/,"{'1 Bed': '$1,335 – 2,360', '2 Beds': '$2,115 – 2,710', '3 Beds': '$3,040'}"
Estates at Vista Ridge Apartments,"160 E Vista Ridge Mall Dr,Lewisville,TX,75067",https://www.apartments.com/estates-at-vista-ridge-apartments-lewisville-tx/5f335sq/,{'1 Bed\n                            –\n3 Beds': 'Call for Rent'}
MacArthur Ridge Apartments,"10701 N MacArthur Blvd,Irving,TX,75063",https://www.apartments.com/macarthur-ridge-apartments-irving-tx/4g9dz7h/,"{'1 Bed': '$979 – 1,063', '2 Beds': '$1,220 – 1,320'}"
Oaks Riverchase Apartments,"777 Fairway Dr,Coppell,TX,75019",https://www.apartments.com/oaks-riverchase-apartments-coppell-tx/n1zhlpp/,"{'1 Bed': '$858 – 1,180', '2 Beds': '$1,163 – 1,618', '3 Beds': '$1,628 – 1,758'}"
Townlake Of Coppell,"215 N Moore Rd,Coppell,TX,75019",https://www.apartments.com/townlake-of-coppell-coppell-tx/4wzlm9h/,"{'1 Bed': '$1,024 – 1,153', '2 Beds': '$1,194 – 1,509', '3 Beds': '$1,507 – 1,528'}"
Estates Of Coppell,"253 Club Cir,Coppell,TX,75019",https://www.apartments.com/estates-of-coppell-coppell-tx/x2md20m/,"{'2 Beds': '$2,050 – 2,100', '3 Beds': '$2,050 – 2,300'}"
Town Creek Apartments,"190 N Moore Rd,Coppell,TX,75019",https://www.apartments.com/town-creek-apartments-coppell-tx/j415m06/,"{'1 Bed': '$845 – 1,050', '2 Beds': '$1,145 – 1,490'}"
1114 Bethel School Ct,"Coppell,TX,75019",https://www.apartments.com/1114-bethel-school-ct-coppell-tx/9c7lgd7/,"{'4 Beds': '$2,250'}"
600 N Coppell Rd Unit 3403,"Coppell,TX,75019",https://www.apartments.com/600-n-coppell-rd-coppell-tx-unit-3403/q97f79z/,"{'1 Bed': '$1,300'}"
557 Leavalley Ln,"557 Leavalley Ln,Coppell,TX,75019",https://www.apartments.com/557-leavalley-ln-coppell-tx/z2gtrxy/,"{'4 Beds': '$3,000'}"
532 Oakcrest Ln,"532 Oakcrest Ln,Coppell,TX,75019",https://www.apartments.com/532-oakcrest-ln-coppell-tx/j2x6sy7/,"{'4 Beds': '$2,500'}"
932 Hidden Hollow Ct,"932 Hidden Hollow Ct,Coppell,TX,75019",https://www.apartments.com/932-hidden-hollow-ct-coppell-tx/mhthclk/,"{'4 Beds': '$3,100'}"
250 Creekside Ln,"250 Creekside Ln,Coppell,TX,75019",https://www.apartments.com/250-creekside-ln-coppell-tx/5yvh48q/,"{'3 Beds': '$1,900'}"
126 E Bethel School Rd,"126 E Bethel School Rd,Coppell,TX,75019",https://www.apartments.com/126-e-bethel-school-rd-coppell-tx/ycc2jmr/,"{'3 Beds': '$1,700'}"
524 McNear Dr,"524 McNear Dr,Coppell,TX,75019",https://www.apartments.com/524-mcnear-dr-coppell-tx/vp6rlxf/,"{'3 Beds': '$2,400'}"
917 Sugarberry Dr,"917 Sugarberry Dr,Coppell,TX,75019",https://www.apartments.com/917-sugarberry-dr-coppell-tx/0lksf83/,"{'3 Beds': '$1,800'}"
509 Parkway Blvd,"509 Parkway Blvd,Coppell,TX,75019",https://www.apartments.com/509-parkway-blvd-coppell-tx/0zslzk2/,"{'2 Beds': '$1,650'}"
497 Forest Ridge Dr,"497 Forest Ridge Dr,Coppell,TX,75019",https://www.apartments.com/497-forest-ridge-dr-coppell-tx/983jdz7/,"{'4 Beds': '$2,995'}"
348 Cedar Crest Dr,"348 Cedar Crest Dr,Coppell,TX,75019",https://www.apartments.com/348-cedar-crest-dr-coppell-tx/s8en1c7/,"{'4 Beds': '$2,695'}"
140 Fallkirk Dr,"140 Fallkirk Dr,Coppell,TX,75019",https://www.apartments.com/140-fallkirk-dr-coppell-tx/lwzd3td/,"{'4 Beds': '$2,300'}"
518 Archer Dr,"518 Archer Dr,Coppell,TX,75019",https://www.apartments.com/518-archer-dr-coppell-tx/hrl9zy1/,"{'3 Beds': '$2,195'}"
1072 Colonial Dr,"1072 Colonial Dr,Coppell,TX,75019",https://www.apartments.com/1072-colonial-dr-coppell-tx/l9zy0pg/,"{'3 Beds': '$1,735'}"
330 Edgewood Dr,"330 Edgewood Dr,Coppell,TX,75019",https://www.apartments.com/330-edgewood-dr-coppell-tx/t5j2589/,"{'3 Beds': '$2,095'}"
218 Willingham Dr,"218 Willingham Dr,Coppell,TX,75019",https://www.apartments.com/218-willingham-dr-coppell-tx/3wb5e3f/,"{'2 Beds': '$1,600'}"
403 Gifford Dr,"403 Gifford Dr,Coppell,TX,75019",https://www.apartments.com/403-gifford-dr-coppell-tx/1p27zk7/,"{'4 Beds': '$2,400'}"
