Name,Address,url,Data
The Caruth,"5445 Caruth Haven Ln,Dallas,TX,75225",https://www.apartments.com/the-caruth-dallas-tx/b9ncpe8/,"{'1 Bed': '$1,599 – 2,175', '2 Beds': '$1,995 – 2,625'}"
Tonti Lakeside,"7777 Glen America Dr,Dallas,TX,75225",https://www.apartments.com/tonti-lakeside-dallas-tx/dcfkq0l/,"{'1 Bed': '$992 – 1,905', '2 Beds': '$1,358 – 2,551'}"
Preston Hollow Village Apartments,"7825 Firefall Way,Dallas,TX,75230",https://www.apartments.com/preston-hollow-village-apartments-dallas-tx/sj16ez6/,"{'Studio': '$1,574', '1 Bed': '$1,454 – 3,434', '2 Beds': '$2,004 – 4,556', '3 Beds': '$5,242 – 5,606'}"
The Laurel,"8600 Preston Rd,Dallas,TX,75225",https://www.apartments.com/the-laurel-dallas-tx/rv72mm1/,"{'1 Bed': '$2,560 – 3,800', '2 Beds': '$3,610 – 5,125', '3 Beds': '$5,360 – 7,030'}"
The Renaissance at Preston Hollow,"8600 Thackery St,Dallas,TX,75225",https://www.apartments.com/the-renaissance-at-preston-hollow-dallas-tx/vb37e9g/,"{'1 Bed': '$1,722 – 2,012', '2 Beds': '$1,879 – 8,205', '3 Beds': '$3,352'}"
The Heights At Park Lane,"8066 Park Ln,Dallas,TX,75231",https://www.apartments.com/the-heights-at-park-lane-dallas-tx/et9c27m/,"{'1 Bed': '$1,092 – 3,599', '2 Beds': '$1,637 – 5,812', '3 Beds': '$3,087 – 9,082'}"
Bandera At Preston Hollow,"6848 Bandera Ave,Dallas,TX,75225",https://www.apartments.com/bandera-at-preston-hollow-dallas-tx/b8mcfe9/,"{'1 Bed': '$1,393 – 2,517', '2 Beds': '$2,383 – 3,278'}"
Villa Del Norte,"6800 Del Norte Ln,Dallas,TX,75225",https://www.apartments.com/villa-del-norte-dallas-tx/3pt9s9f/,"{'1 Bed': '$1,515 – 1,875', '2 Beds': '$2,320 – 2,750'}"
7863 Walnut Hill Ln Unit D,"Dallas,TX,75230",https://www.apartments.com/7863-walnut-hill-ln-dallas-tx-unit-d/sd072j5/,"{'2 Beds': '$2,008'}"
6816 Woodland Dr,"6816 Woodland Dr,Dallas,TX,75225",https://www.apartments.com/6816-woodland-dr-dallas-tx/g1k8wzy/,"{'4+ Beds': '$9,000'}"
8618 Baltimore Dr Unit 201,"8618 Baltimore Dr,Dallas,TX,75225",https://www.apartments.com/8618-baltimore-dr-dallas-tx-unit-201/rnl4762/,"{'2 Beds': '$1,800'}"
3601 Northwest Pkwy,"3601 Northwest Pkwy,Dallas,TX,75225",https://www.apartments.com/3601-northwest-pkwy-dallas-tx/1ye8566/,"{'4 Beds': '$3,500'}"
6211 W Northwest Hwy Unit G712,"6211 W Northwest Hwy,Dallas,TX,75225",https://www.apartments.com/6211-w-northwest-hwy-dallas-tx-unit-g712/sdxn5c4/,"{'1 Bed': '$1,850'}"
6141 Bandera Ave Unit 6141C,"6141 Bandera Ave,Dallas,TX,75225",https://www.apartments.com/6141-bandera-ave-dallas-tx-unit-6141c/9c352g6/,"{'2 Beds': '$1,850'}"
6231 Joyce Way,"6231 Joyce Way,Dallas,TX,75225",https://www.apartments.com/6231-joyce-way-dallas-tx/bkdsbe9/,"{'4+ Beds': '$6,000'}"
7430 W Northwest Hwy Unit 4,"7430 W Northwest Hwy,Dallas,TX,75225",https://www.apartments.com/7430-w-northwest-hwy-dallas-tx-unit-4/jghx655/,"{'2 Beds': '$3,000'}"
3555 Northwest Pkwy,"3555 Northwest Pkwy,Dallas,TX,75225",https://www.apartments.com/3555-northwest-pkwy-dallas-tx/d9whhsl/,"{'2 Beds': '$2,300'}"
6333 Diamond Head Cir Unit D,"6333 Diamond Head Cir,Dallas,TX,75225",https://www.apartments.com/6333-diamond-head-cir-dallas-tx-unit-d/0sxwhw3/,"{'1 Bed': '$1,590'}"
6231 Woodland Dr,"6231 Woodland Dr,Dallas,TX,75225",https://www.apartments.com/6231-woodland-dr-dallas-tx/9fph6m5/,"{'4+ Beds': '$12,000'}"
3420 Colgate Ave,"3420 Colgate Ave,Dallas,TX,75225",https://www.apartments.com/3420-colgate-ave-dallas-tx/ew9q09q/,"{'4 Beds': '$6,800'}"
3547 Northwest Pkwy,"3547 Northwest Pkwy,Dallas,TX,75225",https://www.apartments.com/3547-northwest-pkwy-dallas-tx/fb3tzxt/,"{'2 Beds': '$2,600'}"
6731 Del Norte Ln,"6731 Del Norte Ln,Dallas,TX,75225",https://www.apartments.com/6731-del-norte-ln-dallas-tx/2sfpwhc/,"{'2 Beds': '$2,295'}"
3321 Marquette St,"3321 Marquette St,Dallas,TX,75225",https://www.apartments.com/3321-marquette-st-dallas-tx/379zrzf/,"{'4 Beds': '$4,500'}"
2700 Amherst Ave,"2700 Amherst Ave,Dallas,TX,75225",https://www.apartments.com/2700-amherst-ave-dallas-tx/r3sy4k3/,"{'4 Beds': '$8,000'}"
6723 Woodland Dr,"6723 Woodland Dr,Dallas,TX,75225",https://www.apartments.com/6723-woodland-dr-dallas-tx/gfxte1x/,"{'3 Beds': '$2,800'}"
8616 Turtle Creek Blvd Unit 304,"8616 Turtle Creek Blvd,Dallas,TX,75225",https://www.apartments.com/8616-turtle-creek-blvd-dallas-tx-unit-304/hv9zhq0/,"{'1 Bed': '$2,299'}"
6078 Averill Way Unit 6078B,"6078 Averill Way,Dallas,TX,75225",https://www.apartments.com/6078-averill-way-dallas-tx-unit-6078b/pb3mmjt/,"{'2 Beds': '$1,500'}"
6109 Bandera Ave Unit 6109C,"6109 Bandera Ave,Dallas,TX,75225",https://www.apartments.com/6109-bandera-ave-dallas-tx-unit-6109c/2d64lj9/,"{'2 Beds': '$2,150'}"
