Name,Address,url,Data
The Park at Wintergreen,"320 E Wintergreen Rd,DeSoto,TX,75115",https://www.apartments.com/the-park-at-wintergreen-desoto-tx/c03795f/,"{'1 Bed': '$780 – 1,245', '2 Beds': '$1,100 – 1,510'}"
Mount Vernon,"1020 Scotland Dr,DeSoto,TX,75115",https://www.apartments.com/mount-vernon-desoto-tx/r4729z0/,"{'1 Bed': '$860 – 1,330', '2 Beds': '$1,190 – 1,775', '3 Beds': '$1,780 – 2,505'}"
Rolling Hills,"500 Rolling Hills Pl,Lancaster,TX,75146",https://www.apartments.com/rolling-hills-lancaster-tx/bfd11mb/,"{'1 Bed': '$750', '3 Beds': '$1,225'}"
Brandon Mill Apartments,"8081 Marvin D Love Fwy,Dallas,TX,75237",https://www.apartments.com/brandon-mill-apartments-dallas-tx/jpmtl74/,"{'1 Bed': '$700 – 825', '2 Beds': '$925 – 1,050'}"
Adelita Townhomes,"1369 N Hampton Rd,DeSoto,TX,75115",https://www.apartments.com/adelita-townhomes-desoto-tx/zn4jyjz/,"{'1 Bed': '$910 – 1,010', '2 Beds': '$1,080 – 1,205', '3 Beds': '$1,275 – 1,425'}"
DeSoto Town Center,"207 E Pleasant Run Rd,DeSoto,TX,75115",https://www.apartments.com/desoto-town-center-desoto-tx/tw0bqc9/,"{'Studio': 'Call for Rent', '1 Bed': '$1,450 – 2,210', '2 Beds': '$1,560 – 2,440'}"
Huntington Ridge,"821 S Polk,DeSoto,TX,75115",https://www.apartments.com/huntington-ridge-desoto-tx/dkmyb8l/,"{'1 Bed': '$1,010 – 1,085', '2 Beds': '$1,380 – 1,520', '3 Beds': '$1,780'}"
Riverbend,"1431 David Ave,DeSoto,TX,75115",https://www.apartments.com/riverbend-desoto-tx/k2vw3jb/,"{'1 Bed': '$810 – 850', '2 Beds': '$950 – 1,210', '3 Beds': '$1,085 – 1,200'}"
Bellevue Terrace,"7878 Marvin D Love Fwy,Dallas,TX,75237",https://www.apartments.com/bellevue-terrace-dallas-tx/6s4yrht/,"{'Studio': '$680 – 740', '1 Bed': '$850 – 900', '2 Beds': '$1,150'}"
Wooded Creek Apartments,"825 E Pleasant Run Rd,Desoto,TX,75115",https://www.apartments.com/wooded-creek-apartments-desoto-tx/2xvbjd9/,"{'1 Bed': '$1,040 – 1,050', '2 Beds': '$1,090 – 1,210'}"
Hickory Manor,"1626 Old Hickory Trl,DeSoto,TX,75115",https://www.apartments.com/hickory-manor-desoto-tx/40r73gj/,"{'1 Bed': '$852', '2 Beds': '$1,022'}"
The Arbors on Wintergreen Senior Apartments,"400 E Wintergreen Rd,DeSoto,TX,75115",https://www.apartments.com/the-arbors-on-wintergreen-senior-apartments-desoto-tx/yk11k5r/,"{'2 Beds': '$1,019'}"
Desoto Ranch,"801 S Polk St,Desoto,TX,75115",https://www.apartments.com/desoto-ranch-desoto-tx/259k049/,{'1 Bed\n                            –\n3 Beds': 'Call for Rent'}
809 Windy Meadow Dr,"809 Windy Meadow Dr,DeSoto,TX,75115",https://www.apartments.com/809-windy-meadow-dr-desoto-tx/hblfjl1/,"{'3 Beds': '$1,495'}"
214 Larchbrook Dr,"214 Larchbrook Dr,DeSoto,TX,75115",https://www.apartments.com/214-larchbrook-dr-desoto-tx/t3vq079/,"{'2 Beds': '$1,300'}"
421 Shockley Ave,"421 Shockley Ave,DeSoto,TX,75115",https://www.apartments.com/421-shockley-ave-desoto-tx/y8h1zys/,"{'3 Beds': '$1,295'}"
123 Evelyn St,"123 Evelyn St,DeSoto,TX,75115",https://www.apartments.com/123-evelyn-st-desoto-tx/t7cq47b/,"{'3 Beds': '$1,250'}"
913 Cordell Dr,"913 Cordell Dr,DeSoto,TX,75115",https://www.apartments.com/913-cordell-dr-desoto-tx/ntjc15n/,"{'3 Beds': '$1,550'}"
308 Davis Dr,"308 Davis Dr,DeSoto,TX,75115",https://www.apartments.com/308-davis-dr-desoto-tx/qhs9lmw/,"{'3 Beds': '$1,450'}"
1104 Lakeside Dr,"1104 Lakeside Dr,DeSoto,TX,75115",https://www.apartments.com/1104-lakeside-dr-desoto-tx/7kr5wyx/,"{'4 Beds': '$1,995'}"
1508 Killdee Ct,"1508 Killdee Ct,DeSoto,TX,75115",https://www.apartments.com/1508-killdee-ct-desoto-tx/zyd8etw/,"{'3 Beds': '$1,645'}"
625 N Cockrell Hill Rd,"625 N Cockrell Hill Rd,DeSoto,TX,75115",https://www.apartments.com/625-n-cockrell-hill-rd-desoto-tx/qs6p5cx/,"{'4 Beds': '$2,300'}"
700 Forest Creek,"700 Forest Creek,DeSoto,TX,75115",https://www.apartments.com/700-forest-creek-desoto-tx/dvs1h9j/,"{'4 Beds': '$1,695'}"
609 Jewelflower Dr,"609 Jewelflower Dr,DeSoto,TX,75115",https://www.apartments.com/609-jewelflower-dr-desoto-tx/6ggsrwv/,"{'3 Beds': '$1,695'}"
805 Camelia Ct,"805 Camelia Ct,DeSoto,TX,75115",https://www.apartments.com/805-camelia-ct-desoto-tx/2ney4x8/,"{'4+ Beds': '$2,895'}"
408 Davis Dr,"408 Davis Dr,DeSoto,TX,75115",https://www.apartments.com/408-davis-dr-desoto-tx/jkhqvy4/,"{'3 Beds': '$1,450'}"
633 Teresa Dr,"633 Teresa Dr,DeSoto,TX,75115",https://www.apartments.com/633-teresa-dr-desoto-tx/4c8nxnj/,"{'4 Beds': '$1,975'}"
537 Missionary Ridge,"537 Missionary Ridge,DeSoto,TX,75115",https://www.apartments.com/537-missionary-ridge-desoto-tx/ns2rb8p/,"{'4 Beds': '$2,000'}"
213 Idle Creek Ln,"213 Idle Creek Ln,DeSoto,TX,75115",https://www.apartments.com/213-idle-creek-ln-desoto-tx/xgw21tn/,"{'3 Beds': '$1,500'}"
909 Sundown Ln,"909 Sundown Ln,DeSoto,TX,75115",https://www.apartments.com/909-sundown-ln-desoto-tx/gj8kwtz/,"{'4 Beds': '$2,245'}"
205 Connie Dr,"205 Connie Dr,DeSoto,TX,75115",https://www.apartments.com/205-connie-dr-desoto-tx/m282gel/,"{'3 Beds': '$1,450'}"
900 Eagle Dr,"900 Eagle Dr,DeSoto,TX,75115",https://www.apartments.com/900-eagle-dr-desoto-tx/e4jswrp/,"{'4 Beds': '$1,450'}"
168 Faircrest Dr,"168 Faircrest Dr,DeSoto,TX,75115",https://www.apartments.com/168-faircrest-dr-desoto-tx/pdjtsnr/,"{'3 Beds': '$1,550'}"
902 Live Oak Dr,"902 Live Oak Dr,DeSoto,TX,75115",https://www.apartments.com/902-live-oak-dr-desoto-tx/ggstdsx/,"{'3 Beds': '$1,620'}"
1209 Beeblossom Dr,"1209 Beeblossom Dr,DeSoto,TX,75115",https://www.apartments.com/1209-beeblossom-dr-desoto-tx/c7gzrqf/,"{'4 Beds': '$1,750'}"
222 Idle Creek Ln,"222 Idle Creek Ln,DeSoto,TX,75115",https://www.apartments.com/222-idle-creek-ln-desoto-tx/68nvznr/,"{'3 Beds': '$1,475'}"
928 Eagle Dr,"928 Eagle Dr,DeSoto,TX,75115",https://www.apartments.com/928-eagle-dr-desoto-tx/trp7zw8/,"{'4 Beds': '$1,645'}"
700 Forest Creek,"700 Forest Creek,DeSoto,TX,75115",https://www.apartments.com/700-forest-creek-desoto-tx/0bt2w91/,"{'4 Beds': '$1,695'}"
1130 Wentwood Dr,"1130 Wentwood Dr,DeSoto,TX,75115",https://www.apartments.com/1130-wentwood-dr-desoto-tx/mn80cpl/,"{'4 Beds': '$1,945'}"
605 Trillium Ln,"605 Trillium Ln,DeSoto,TX,75115",https://www.apartments.com/605-trillium-ln-desoto-tx/prt7h3t/,{'3 Beds': 'Call for Rent'}
1105 Raspberry Ln,"1105 Raspberry Ln,DeSoto,TX,75115",https://www.apartments.com/1105-raspberry-ln-desoto-tx/yyg3mdt/,"{'4 Beds': '$2,420'}"
1327 MARBLE CANYON DR,"1327 Marble Canyon Dr,DeSoto,TX,75115",https://www.apartments.com/1327-marble-canyon-dr-desoto-tx/np79mkq/,"{'3 Beds': '$1,865'}"
929 Oak Trail Desoto TX 75115,"929 Oak Trail,DeSoto,TX,75115",https://www.apartments.com/929-oak-trail-desoto-tx-75115-desoto-tx/ll4vm6g/,"{'3 Beds': '$1,795'}"
913 Urban Drive,"913 Urban Dr,DeSoto,TX,75115",https://www.apartments.com/913-urban-drive-desoto-tx/cx6555e/,"{'4 Beds': '$1,350'}"
"401 Buffalo Creek Desoto, TX","401 Buffalo Creek Dr,DeSoto,TX,75115",https://www.apartments.com/401-buffalo-creek-desoto-tx-desoto-tx/lw3j6mg/,"{'4+ Beds': '$2,195'}"
909 Sundown Ln,"909 Sundown Ln,DeSoto,TX,75115",https://www.apartments.com/909-sundown-ln-desoto-tx/lvmh8wg/,"{'3 Beds': '$2,245'}"
117 N Beltwoods Dr,"117 N Beltwoods Dr,DeSoto,TX,75115",https://www.apartments.com/117-n-beltwoods-dr-desoto-tx/chbyhdg/,"{'3 Beds': '$1,845'}"
1327 Marble Canyon Dr,"1327 Marble Canyon Dr,DeSoto,TX,75115",https://www.apartments.com/1327-marble-canyon-dr-desoto-tx/cqr9snf/,"{'3 Beds': '$1,865'}"
Great 4/2 in Desoto,"1117 Southpointe Dr,DeSoto,TX,75115",https://www.apartments.com/great-4-2-in-desoto-desoto-tx/8h9gf00/,"{'4 Beds': '$1,450'}"
514 E Belt Line Rd,"514 E Belt Line Rd,DeSoto,TX,75115",https://www.apartments.com/514-e-belt-line-rd-desoto-tx/9jpgqg7/,"{'2 Beds': '$1,100'}"
"512 Tealridge Lane Desoto,TX 75115","512 Tealridge Ln,DeSoto,TX,75115",https://www.apartments.com/512-tealridge-lane-desototx-75115-desoto-tx/blzk9hc/,"{'3 Beds': '$1,795'}"
"929 Oak Trail, Desoto TX 75115","929 Oak Trail,DeSoto,TX,75115",https://www.apartments.com/929-oak-trail-desoto-tx-75115-desoto-tx/e0hgkwm/,"{'3 Beds': '$1,795'}"
"Large, newly remodeled home!","112 Streamside Dr,DeSoto,TX,75115",https://www.apartments.com/large-newly-remodeled-home-desoto-tx/slhlqb4/,"{'3 Beds': '$1,595'}"
805 Camelia Ct,"805 Camelia Ct,DeSoto,TX,75115",https://www.apartments.com/805-camelia-ct-desoto-tx/krjxzx9/,"{'4+ Beds': '$2,895'}"
Great 4/2 in Desoto!,"1117 Southpointe Dr,DeSoto,TX,75115",https://www.apartments.com/great-4-2-in-desoto-desoto-tx/mfv6m1l/,"{'4 Beds': '$1,450'}"
533 Jeff Grimes Blvd,"533 Jeff Grimes Blvd,DeSoto,TX,75115",https://www.apartments.com/533-jeff-grimes-blvd-desoto-tx/851n7b3/,"{'3 Beds': '$1,645'}"
117 S Beltwoods Drive S,"117 S Beltwoods Dr,DeSoto,TX,75115",https://www.apartments.com/117-s-beltwoods-drive-s-desoto-tx/jh6dxk6/,"{'3 Beds': '$1,845'}"
945 Worthington Drive,"945 Worthington Dr,DeSoto,TX,75115",https://www.apartments.com/945-worthington-drive-desoto-tx/y7e95st/,"{'3 Beds': '$1,595'}"
222 Idle Creek Ln,"222 Idle Creek Ln,DeSoto,TX,75115",https://www.apartments.com/222-idle-creek-ln-desoto-tx/4yx19sh/,"{'3 Beds': '$1,475'}"
"3 br, 2.5 bath House - 913 Cordell","913 Cordell Dr,DeSoto,TX,75115",https://www.apartments.com/3-br-25-bath-house-913-cordell-desoto-tx/ejg8x5q/,"{'3 Beds': '$1,550'}"
514 E Belt Line Rd,"514 E Belt Line Rd,DeSoto,TX,75115",https://www.apartments.com/514-e-belt-line-rd-desoto-tx/1qg7js5/,"{'2 Beds': '$1,100'}"
338 Jordan Dr,"338 Jordan Dr,DeSoto,TX,75115",https://www.apartments.com/338-jordan-dr-desoto-tx/0j9j8g1/,"{'3 Beds': '$1,645'}"
1508 Killdee Ct,"1508 Killdee Ct,DeSoto,TX,75115",https://www.apartments.com/1508-killdee-ct-desoto-tx/vhehjtg/,"{'3 Beds': '$1,645'}"
909 Sundown Ln,"909 Sundown Ln,DeSoto,TX,75115",https://www.apartments.com/909-sundown-ln-desoto-tx/4e8wzyj/,"{'3 Beds': '$2,245'}"
928 Eagle Dr,"928 Eagle Dr,DeSoto,TX,75115",https://www.apartments.com/928-eagle-dr-desoto-tx/swxk5v4/,"{'4 Beds': '$1,645'}"
401 Buffalo Creek Desoto TX,"401 Buffalo Creek Dr,DeSoto,TX,75115",https://www.apartments.com/401-buffalo-creek-desoto-tx-desoto-tx/7ld04yy/,"{'4+ Beds': '$2,195'}"
512 Tealridge Lane DesotoTX 75115,"512 Tealridge Ln,DeSoto,TX,75115",https://www.apartments.com/512-tealridge-lane-desototx-75115-desoto-tx/fxk1s4s/,"{'3 Beds': '$1,795'}"
Courtyard at Kirnwood,"2600 Bolton Boone Dr,DeSoto,TX,75115",https://www.apartments.com/courtyard-at-kirnwood-desoto-tx/v6gerfg/,"{'1 Bed': '$703 – 851', '2 Beds': '$844 – 1,022'}"
124 Idle Creek Ln,"124 Idle Creek Ln,DeSoto,TX,75115",https://www.apartments.com/124-idle-creek-ln-desoto-tx/6p1r5xt/,"{'3 Beds': '$1,100'}"
Colonies,"2525 Bolton Boone Dr,DeSoto,TX,75115",https://www.apartments.com/colonies-desoto-tx/fhj08fv/,{'1 Bed': '$895 – 955'}
Thorn Manor,"300 W Wintergreen Rd,DeSoto,TX,75115",https://www.apartments.com/thorn-manor-desoto-tx/ezv3ccp/,"{'2 Beds': '$1,045 – 1,120'}"
Greens of Hickory Trail Apartments,"8613 Old Hickory Trail,Dallas,TX,75237",https://www.apartments.com/greens-of-hickory-trail-apartments-dallas-tx/98gpxn4/,"{'2 Beds': '$1,000', '3 Beds': '$1,152'}"
1534 Montreal Ln,"1534 Montreal Ln,Glenn Heights,TX,75154",https://www.apartments.com/1534-montreal-ln-glenn-heights-tx/j16hn95/,"{'3 Beds': '$1,395'}"
