Name,Address,url,Data
Sierra Park Apartments,"11611 Ferguson Rd,Dallas,TX,75228",https://www.apartments.com/sierra-park-apartments-dallas-tx/zdye4vy/,"{'1 Bed': '$710 – 875', '2 Beds': '$1,045 – 1,065'}"
Hilton Head,"11440-11650 McCree Rd,Dallas,TX,75238",https://www.apartments.com/hilton-head-dallas-tx/3mxt3cf/,"{'1 Bed': '$815 – 1,205', '2 Beds': '$1,165 – 1,745'}"
Fountains of Jupiter,"12993 Jupiter Rd,Dallas,TX,75238",https://www.apartments.com/fountains-of-jupiter-dallas-tx/s1ph114/,{'1 Bed': '$655 – 930'}
Pecan Knoll Apartments,"1051 E Centerville Rd,Garland,TX,75041",https://www.apartments.com/pecan-knoll-apartments-garland-tx/vbez0be/,"{'1 Bed': '$775 – 955', '2 Beds': '$1,050 – 1,165', '3 Beds': '$1,500 – 1,580'}"
Marisol Villas Apartments,"1221 W Miller Rd,Garland,TX,75041",https://www.apartments.com/marisol-villas-apartments-garland-tx/qzwcyrw/,"{'1 Bed': '$675', '2 Beds': '$775', '3 Beds': '$875'}"
Franciscan Apartments,"1201 Winifred Dr,Garland,TX,75041",https://www.apartments.com/franciscan-apartments-garland-tx/pw64tdr/,"{'1 Bed': '$825', '2 Beds': '$1,075'}"
Parkridge,"1839 S Glenbrook Dr,Garland,TX,75040",https://www.apartments.com/parkridge-garland-tx/1rbbwl4/,"{'Studio': '$575', '1 Bed': '$725', '2 Beds': '$800 – 1,025', '3 Beds': '$1,200'}"
Orchard Hills,"1320 W Kingsley Rd,Garland,TX,75041",https://www.apartments.com/orchard-hills-garland-tx/sdpzmd4/,"{'1 Bed': '$839 – 864', '2 Beds': '$944 – 959'}"
Oak Glen Apartments,"4420 Saturn Rd,Garland,TX,75041",https://www.apartments.com/oak-glen-apartments-garland-tx/n96mfjq/,"{'1 Bed': '$745 – 885', '2 Beds': '$935 – 1,015'}"
101 E Ridgewood Dr,"Garland,TX,75041",https://www.apartments.com/101-e-ridgewood-dr-garland-tx/spy6md7/,"{'3 Beds': '$1,150'}"
1802 Lewis Dr,"Garland,TX,75041",https://www.apartments.com/1802-lewis-dr-garland-tx/680bfyt/,"{'3 Beds': '$1,600'}"
401 E Miller Rd,"401 E Miller Rd,Garland,TX,75041",https://www.apartments.com/401-e-miller-rd-garland-tx/zsh8bky/,"{'3 Beds': '$1,400'}"
530 W Ridgewood Dr,"530 W Ridgewood Dr,Garland,TX,75041",https://www.apartments.com/530-w-ridgewood-dr-garland-tx/fq9348t/,"{'3 Beds': '$1,350'}"
1405 McDonald Dr,"1405 McDonald Dr,Garland,TX,75041",https://www.apartments.com/1405-mcdonald-dr-garland-tx/s6dfxr4/,"{'3 Beds': '$1,450'}"
