Name,Address,url,Data
Parkway Villas,"717 S Great Southwest Pky,Grand Prairie,TX,75051",https://www.apartments.com/parkway-villas-grand-prairie-tx/lbccxsg/,{'2 Beds': '$847 – 875'}
Sunridge,"145 W Pioneer Pky,Grand Prairie,TX,75051",https://www.apartments.com/sunridge-grand-prairie-tx/llpsk6e/,"{'1 Bed': '$610 – 675', '2 Beds': '$775 – 885'}"
Tree Top Apartments,"1933 S State Highway 161,Grand Prairie,TX,75051",https://www.apartments.com/tree-top-apartments-grand-prairie-tx/c484xre/,"{'1 Bed': '$845', '2 Beds': '$975 – 995', '3 Beds': '$1,250 – 1,275'}"
Windchase Apartments,"501 E Pioneer Pky,Grand Prairie,TX,75051",https://www.apartments.com/windchase-apartments-grand-prairie-tx/xvptesp/,"{'1 Bed': '$689 – 729', '2 Beds': '$939 – 1,119', '3 Beds': '$1,159'}"
Westmount at Colonnade,"2815 Osler Dr,Grand Prairie,TX,75051",https://www.apartments.com/westmount-at-colonnade-grand-prairie-tx/jvdnth6/,"{'1 Bed': '$945 – 1,005', '2 Beds': '$1,035 – 1,270', '3 Beds': '$1,325 – 1,450'}"
Landings of Carrier Parkway,"915 Desco Ln,Grand Prairie,TX,75051",https://www.apartments.com/landings-of-carrier-parkway-grand-prairie-tx/r3hv2f1/,"{'1 Bed': '$741 – 980', '2 Beds': '$1,150 – 1,295', '3 Beds': '$1,488 – 1,550'}"
Donna Lynn Apartments,"1201 E Marshall Dr,Grand Prairie,TX,75051",https://www.apartments.com/donna-lynn-apartments-grand-prairie-tx/h827py1/,"{'1 Bed': '$800', '2 Beds': '$975', '3 Beds': '$1,250'}"
Las Lomas,"834 Timberlake Dr,Arlington,TX,76010",https://www.apartments.com/las-lomas-arlington-tx/5sjpdln/,"{'1 Bed': '$699', '2 Beds': '$849', '3 Beds': '$995'}"
1905 Dorothy Dr,"1905 Dorothy Dr,Grand Prairie,TX,75051",https://www.apartments.com/1905-dorothy-dr-grand-prairie-tx/mx2spll/,"{'3 Beds': '$1,400'}"
1734 Avenue E,"1734 Avenue E,Grand Prairie,TX,75051",https://www.apartments.com/1734-avenue-e-grand-prairie-tx/sgjn635/,"{'3 Beds': '$1,500'}"
