Name,Address,url,Data
Trinity Park Apartments,"2700 Rock Island Rd,Irving,TX,75060",https://www.apartments.com/trinity-park-apartments-irving-tx/1q5jjw6/,"{'1 Bed': '$800', '2 Beds': '$945'}"
Park Grove Square,"2957 Park Square Dr,Irving,TX,75060",https://www.apartments.com/park-grove-square-irving-tx/z07zw6x/,"{'1 Bed': '$795 – 850', '2 Beds': '$955 – 1,075', '3 Beds': '$1,195'}"
Parkwood Apartments,"400 Irby Ln,Irving,TX,75061",https://www.apartments.com/parkwood-apartments-irving-tx/z03mlvz/,"{'1 Bed': '$849 – 949', '2 Beds': '$989 – 1,179', '3 Beds': '$1,219 – 1,339'}"
The Monterey,"700 S Story Rd,Irving,TX,75060",https://www.apartments.com/the-monterey-irving-tx/ehk6vxq/,"{'1 Bed': '$825 – 860', '2 Beds': '$1,065 – 1,200'}"
2612 Helmet St,"2612 Helmet St,Irving,TX,75060",https://www.apartments.com/2612-helmet-st-irving-tx/wr07wkl/,"{'3 Beds': '$1,700'}"
2705 Bluelake Ct,"2705 Bluelake Ct,Irving,TX,75060",https://www.apartments.com/2705-bluelake-ct-irving-tx/qh12knx/,"{'4 Beds': '$1,495'}"
1403 Lakeshore Dr,"1403 Lakeshore Dr,Irving,TX,75060",https://www.apartments.com/1403-lakeshore-dr-irving-tx/ym99eet/,"{'4 Beds': '$2,300'}"
2543 Shupe Ct,"2543 Shupe Ct,Irving,TX,75060",https://www.apartments.com/2543-shupe-ct-irving-tx/k2m36x9/,"{'3 Beds': '$1,650'}"
2428 Markland St,"2428 Markland St,Irving,TX,75060",https://www.apartments.com/2428-markland-st-irving-tx/c7sftve/,"{'3 Beds': '$1,700'}"
515 Rolston Rd,"515 Rolston Rd,Irving,TX,75060",https://www.apartments.com/515-rolston-rd-irving-tx/hx1ct73/,"{'3 Beds': '$1,295'}"
2815 W 11th St,"2815 W 11th St,Irving,TX,75060",https://www.apartments.com/2815-w-11th-st-irving-tx/37hlmeg/,"{'4 Beds': '$1,995'}"
2257 Bolden Rd,"2257 Bolden Rd,Irving,TX,75060",https://www.apartments.com/2257-bolden-rd-irving-tx/hhb0013/,"{'3 Beds': '$1,875'}"
1414 Scott Ct,"1414 Scott Ct,Irving,TX,75060",https://www.apartments.com/1414-scott-ct-irving-tx/hz79mv2/,"{'3 Beds': '$1,500'}"
2 Bedroom 1.5 Bath Water Sewer and Trash Paid,"3124 W Shady Grove Rd,Irving,TX,75060",https://www.apartments.com/2-bedroom-15-bath-water-sewer-and-trash-paid-irving-tx/jw39er6/,"{'2 Beds': '$1,050'}"
227 Alpine Ct Unit 227 Alpine Ct.,"227 Alpine Ct,Irving,TX,75060",https://www.apartments.com/227-alpine-ct-irving-tx-unit-227-alpine-ct/dvs808k/,{'2 Beds': '$925'}
"AVAILABLE FOR MOVE IN SEPTEMBER 15, 2018","2809 Shadylake Ct,Irving,TX,75060",https://www.apartments.com/available-for-move-in-september-15-2018-irving-tx/e9ql7sm/,"{'3 Beds': '$1,395'}"
1100 Carrington Ct,"1100 Carrington Ct,Irving,TX,75060",https://www.apartments.com/1100-carrington-ct-irving-tx/y9xppkv/,"{'3 Beds': '$1,865'}"
2805 Bridge Lake Dr,"2805 Bridge Lake Dr,Irving,TX,75060",https://www.apartments.com/2805-bridge-lake-dr-irving-tx/kxyxxrb/,"{'2 Beds': '$1,295'}"
1100 Carrington Ct,"1100 Carrington Ct,Irving,TX,75060",https://www.apartments.com/1100-carrington-ct-irving-tx/lfdkzde/,"{'3 Beds': '$1,865'}"
"3 br, 2 bath House - 2543 Shupe Ct","2543 Shupe Ct,Irving,TX,75060",https://www.apartments.com/3-br-2-bath-house-2543-shupe-ct-irving-tx/630ec2s/,"{'3 Beds': '$1,650'}"
640 South Rogers Road,"640 S Rogers Rd,Irving,TX,75060",https://www.apartments.com/640-south-rogers-road-irving-tx/ch86c4f/,"{'2 Beds': '$1,325'}"
642 South Rogers Road,"642 S Rogers Rd,Irving,TX,75060",https://www.apartments.com/642-south-rogers-road-irving-tx/w32vkqj/,"{'2 Beds': '$1,295'}"
2428 Markland St,"2428 Markland St,Irving,TX,75060",https://www.apartments.com/2428-markland-st-irving-tx/qmlq4jz/,"{'3 Beds': '$1,700'}"
1941 Ruby Rd,"1941 Ruby Rd,Irving,TX,75060",https://www.apartments.com/1941-ruby-rd-irving-tx/e82k6yq/,"{'3 Beds': '$1,400'}"
Brittney Place,"1516 E Irving Blvd,Irving,TX,75060",https://www.apartments.com/brittney-place-irving-tx/273jgn9/,{'1 Bed': '$745'}
Pecan Village Apartments,"924-932 Hilltop Dr,Irving,TX,75060",https://www.apartments.com/pecan-village-apartments-irving-tx/h2473b1/,{'1 Bed': '$675'}
T P Las Palmas,"851 S Irving Heights Dr,Irving,TX,75060",https://www.apartments.com/t-p-las-palmas-irving-tx/kcm7kw9/,"{'2 Beds': '$1,000 – 1,080'}"
Brentwood Apartments,"821-831 S Nursery Rd,Irving,TX,75060",https://www.apartments.com/brentwood-apartments-irving-tx/ph3rqxs/,"{'1 Bed': '$550', '2 Beds': '$900'}"
Towne Oaks Townhomes,"847 Mary Lee Cir,Irving,TX,75060",https://www.apartments.com/towne-oaks-townhomes-irving-tx/7zf7mzw/,"{'1 Bed': '$1,100', '3 Beds': '$1,550'}"
Irving Oaks,"1928 Rock Island Rd,Irving,TX,75060",https://www.apartments.com/irving-oaks-irving-tx/0ym4kf1/,"{'1 Bed': '$780', '2 Beds': '$890', '3 Beds': '$1,080'}"
Rock Island Apartments,"2002 Rock Island Rd,Irving,TX,75060",https://www.apartments.com/rock-island-apartments-irving-tx/h16jn53/,"{'1 Bed': '$975', '2 Beds': '$1,115'}"
Sunrise Suites Apartments,"1411 W Shady Grove Rd,Irving,TX,75060",https://www.apartments.com/sunrise-suites-apartments-irving-tx/87sy2f1/,{'1 Bed': '$770'}
251 Enchanted Ct,"251 Enchanted Ct,Grand Prairie,TX,75050",https://www.apartments.com/251-enchanted-ct-grand-prairie-tx/y10j23s/,"{'4 Beds': '$2,000'}"
Watertower Villas,"2423 Parkside Ave,Irving,TX,75061",https://www.apartments.com/watertower-villas-irving-tx/e5sxqtq/,{'1 Bed': '$805'}
The Texan,"1015 E Pioneer Dr,Irving,TX,75061",https://www.apartments.com/the-texan-irving-tx/fcv5zxt/,{'1 Bed': '$850'}
Royal Oaks,"500 Haley St,Irving,TX,75060",https://www.apartments.com/royal-oaks-irving-tx/90d52t6/,{}
