Name,Address,url,Data
Portofino,"1400 N Bluegrove Rd,Lancaster,TX,75134",https://www.apartments.com/portofino-lancaster-tx/2mj9qm9/,"{'1 Bed': '$695 – 765', '2 Beds': '$865 – 915'}"
Riverbend,"1000 River Bend Dr,Lancaster,TX,75146",https://www.apartments.com/riverbend-lancaster-tx/v82ef7d/,"{'1 Bed': '$675 – 725', '2 Beds': '$790'}"
Pleasant Creek Apartments,"1255 W Pleasant Run Rd,Lancaster,TX,75146",https://www.apartments.com/pleasant-creek-apartments-lancaster-tx/gzh3nhw/,"{'1 Bed': '$795 – 805', '2 Beds': '$950 – 1,075', '3 Beds': '$1,170 – 1,250'}"
1512 Rebecca Ln,"1512 Rebecca Ln,Lancaster,TX,75134",https://www.apartments.com/1512-rebecca-ln-lancaster-tx/8157c33/,"{'3 Beds': '$1,350'}"
1062 Alicia Ln,"1062 Alicia Ln,Lancaster,TX,75134",https://www.apartments.com/1062-alicia-ln-lancaster-tx/zdy03zw/,"{'3 Beds': '$1,275'}"
2127 Stonewood Dr,"2127 Stonewood Dr,Lancaster,TX,75134",https://www.apartments.com/2127-stonewood-dr-lancaster-tx/1bcm0c4/,"{'4 Beds': '$1,495'}"
1722 Oneal St,"1722 Oneal St,Lancaster,TX,75134",https://www.apartments.com/1722-oneal-st-lancaster-tx/hxygw92/,"{'4 Beds': '$1,695'}"
2926 Pepperidge Dr E,"2926 Pepperidge Dr E,Lancaster,TX,75134",https://www.apartments.com/2926-pepperidge-dr-e-lancaster-tx/2jb7f89/,"{'3 Beds': '$1,395'}"
1417 Rockbrook St,"1417 Rockbrook St,Lancaster,TX,75134",https://www.apartments.com/1417-rockbrook-st-lancaster-tx/1gke695/,"{'3 Beds': '$1,150'}"
1320 Illinois Ave,"1320 Illinois Ave,Lancaster,TX,75134",https://www.apartments.com/1320-illinois-ave-lancaster-tx/pchgy6v/,"{'3 Beds': '$1,685'}"
1310 Willowbrook St,"1310 Willowbrook St,Lancaster,TX,75134",https://www.apartments.com/1310-willowbrook-st-lancaster-tx/rcngt70/,"{'4 Beds': '$1,425'}"
1157 Nancy Ln,"1157 Nancy Ln,Lancaster,TX,75134",https://www.apartments.com/1157-nancy-ln-lancaster-tx/5px7yfp/,"{'3 Beds': '$1,250'}"
1407 Honey Bee Ln,"1407 Honey Bee Ln,Lancaster,TX,75134",https://www.apartments.com/1407-honey-bee-ln-lancaster-tx/bpxv89b/,"{'3 Beds': '$1,700'}"
626 Aspen St,"626 Aspen St,Lancaster,TX,75134",https://www.apartments.com/626-aspen-st-lancaster-tx/byt6vd9/,"{'3 Beds': '$1,375'}"
1209 Candler Dr,"1209 Candler Dr,Lancaster,TX,75134",https://www.apartments.com/1209-candler-dr-lancaster-tx/8k9k4c2/,"{'4 Beds': '$1,745'}"
2982 Marquis Lane,"2982 Marquis Ln,Lancaster,TX,75134",https://www.apartments.com/2982-marquis-lane-lancaster-tx/vrks2kd/,"{'4 Beds': '$1,650'}"
1209 Candler Dr,"1209 Candler Dr,Lancaster,TX,75134",https://www.apartments.com/1209-candler-dr-lancaster-tx/rwb1qn3/,"{'4 Beds': '$1,745'}"
1310 Willowbrook St,"1310 Willowbrook St,Lancaster,TX,75134",https://www.apartments.com/1310-willowbrook-st-lancaster-tx/ye5yl0v/,"{'4 Beds': '$1,425'}"
1755 Reynolds St,"1755 Reynolds St,Lancaster,TX,75134",https://www.apartments.com/1755-reynolds-st-lancaster-tx/8vzhsj3/,"{'3 Beds': '$1,625'}"
1559 Sunnymeadow Road,"1559 Sunny Meadow Rd,Lancaster,TX,75134",https://www.apartments.com/1559-sunnymeadow-road-lancaster-tx/9j8dwk6/,"{'3 Beds': '$1,550'}"
1566 Willowbrook St,"1566 Willowbrook St,Lancaster,TX,75134",https://www.apartments.com/1566-willowbrook-st-lancaster-tx/6jp4g3r/,"{'3 Beds': '$1,445'}"
1559 Sunnymeadow Road,"1559 Sunny Meadow Rd,Lancaster,TX,75134",https://www.apartments.com/1559-sunnymeadow-road-lancaster-tx/9t12gh7/,"{'3 Beds': '$1,550'}"
626 Aspen St,"626 Aspen St,Lancaster,TX,75134",https://www.apartments.com/626-aspen-st-lancaster-tx/80vb341/,"{'3 Beds': '$1,375'}"
2982 Marquis Lane,"2982 Marquis Ln,Lancaster,TX,75134",https://www.apartments.com/2982-marquis-lane-lancaster-tx/xf43kdq/,"{'4 Beds': '$1,650'}"
1209 Candler Dr,"1209 Candler Dr,Lancaster,TX,75134",https://www.apartments.com/1209-candler-dr-lancaster-tx/mjg2myk/,"{'4 Beds': '$1,745'}"
2201 Frederick St,"2201 Frederick St,Lancaster,TX,75134",https://www.apartments.com/2201-frederick-st-lancaster-tx/7dkjswz/,"{'3 Beds': '$1,695'}"
1755 Reynolds St,"1755 Reynolds St,Lancaster,TX,75134",https://www.apartments.com/1755-reynolds-st-lancaster-tx/c26zq9d/,"{'3 Beds': '$1,625'}"
2617 Concord Ln,"2617 Concord Ln,Lancaster,TX,75134",https://www.apartments.com/2617-concord-ln-lancaster-tx/krchp2c/,"{'3 Beds': '$1,100'}"
2653 Arlington Ln,"2653 Arlington Ln,Lancaster,TX,75134",https://www.apartments.com/2653-arlington-ln-lancaster-tx/xb0qbkm/,"{'4 Beds': '$1,350'}"
2218 Montclair St,"2218 Montclair St,Lancaster,TX,75146",https://www.apartments.com/2218-montclair-st-lancaster-tx/m9jqj5k/,"{'3 Beds': '$1,295'}"
1415 Prairie Dr,"1415 Prairie Dr,Lancaster,TX,75146",https://www.apartments.com/1415-prairie-dr-lancaster-tx/r6wg532/,"{'4 Beds': '$1,995'}"
2220 Augusta St,"2220 Augusta St,Lancaster,TX,75146",https://www.apartments.com/2220-augusta-st-lancaster-tx/4dbshbl/,"{'3 Beds': '$1,635'}"
1415 Prairie Dr,"1415 Prairie Dr,Lancaster,TX,75146",https://www.apartments.com/1415-prairie-dr-lancaster-tx/649z7xv/,"{'4 Beds': '$1,995'}"
1415 Prairie Dr,"1415 Prairie Dr,Lancaster,TX,75146",https://www.apartments.com/1415-prairie-dr-lancaster-tx/m1nvf7j/,"{'4 Beds': '$1,995'}"
Rosemont of Lancaster,"1605 N Houston School Rd,Lancaster,TX,75134",https://www.apartments.com/rosemont-of-lancaster-lancaster-tx/n507nxq/,{}
Bel Air Place,"1508 Dewberry Blvd,Lancaster,TX,75134",https://www.apartments.com/bel-air-place-lancaster-tx/4wr3xfl/,{}
Villas of Lancaster,"2531 W Pleasant Run Rd,Lancaster,TX,75146",https://www.apartments.com/villas-of-lancaster-lancaster-tx/rbq1142/,{}
Cedar Green Living Center,"1020 Pecan Crossing Dr,DeSoto,TX,75115",https://www.apartments.com/cedar-green-living-center-desoto-tx/4f4lh0l/,{}
1201 N Elm St,"1201 N Elm St,Lancaster,TX,75146",https://www.apartments.com/1201-n-elm-st-lancaster-tx/5b7pfjq/,{}
Westridge Apartments,"1207 Westridge Ave,Lancaster,TX,75146",https://www.apartments.com/westridge-apartments-lancaster-tx/gyt1r4w/,{}
