Name,Address,url,Data
Annex,"4709 Samuell Blvd,Mesquite,TX,75149",https://www.apartments.com/annex-mesquite-tx/p92xyxt/,"{'1 Bed': '$753 – 915', '2 Beds': '$847 – 1,059', '3 Beds': '$1,004 – 1,129'}"
Mission Ranch Apartments,"901 Us Highway 80 E,Mesquite,TX,75150",https://www.apartments.com/mission-ranch-apartments-mesquite-tx/50kpl1p/,"{'1 Bed': '$950 – 1,720', '2 Beds': '$1,290 – 2,205', '3 Beds': '$1,770 – 3,090'}"
The Barons,"2101 Us Highway 80 E,Mesquite,TX,75150",https://www.apartments.com/the-barons-mesquite-tx/h8fytb2/,"{'1 Bed': '$837 – 1,003', '2 Beds': '$1,117 – 1,241'}"
Carrera Run Apartments,"3421 US Highway 80 E,Mesquite,TX,75150",https://www.apartments.com/carrera-run-apartments-mesquite-tx/yj5k7tt/,"{'1 Bed': '$725 – 750', '2 Beds': '$925 – 1,050'}"
Forty200,"4200 E Highway 80,Mesquite,TX,75149",https://www.apartments.com/forty200-mesquite-tx/m9ykrtj/,"{'1 Bed': '$749 – 919', '2 Beds': '$1,009 – 1,099'}"
Stone Ridge,"933 W Cartwright Rd,Mesquite,TX,75149",https://www.apartments.com/stone-ridge-mesquite-tx/f9cefhv/,"{'1 Bed': '$740 – 785', '2 Beds': '$920 – 1,055'}"
Strawberry Hill,"800 W Cartwright Rd,Mesquite,TX,75149",https://www.apartments.com/strawberry-hill-mesquite-tx/r7y02k1/,"{'1 Bed': '$779 – 809', '2 Beds': '$889 – 929'}"
Arroyo Vista Estates,"1600 Hickory Tree Rd,Mesquite,TX,75149",https://www.apartments.com/arroyo-vista-estates-mesquite-tx/l7pbnke/,"{'1 Bed': '$695', '2 Beds': '$780 – 795', '3 Beds': '$865'}"
Park Ridge Apartments,"2457 Us-80,Mesquite,TX,75150",https://www.apartments.com/park-ridge-apartments-mesquite-tx/p4tbwvv/,"{'1 Bed': '$785 – 1,100', '2 Beds': '$920 – 1,410'}"
Stoneleigh on Cartwright,"500 W Cartwright Rd,Balch Springs,TX,75180",https://www.apartments.com/stoneleigh-on-cartwright-balch-springs-tx/tzjzlw8/,"{'1 Bed': '$955 – 1,060', '2 Beds': '$1,108 – 1,267', '3 Beds': '$1,545 – 1,570'}"
Hillcrest Apartments,"2019-2119 Hillcrest St,Mesquite,TX,75149",https://www.apartments.com/hillcrest-apartments-mesquite-tx/814yht0/,"{'1 Bed': '$690 – 706', '2 Beds': '$828 – 847', '3 Beds': '$979'}"
Magnolia at Mesquite Creek,"700 Gross Rd,Mesquite,TX,75149",https://www.apartments.com/magnolia-at-mesquite-creek-mesquite-tx/gkg28yx/,"{'1 Bed': '$780', '2 Beds': '$928', '3 Beds': '$1,064'}"
354 Long Creek Rd,"Sunnyvale,TX,75182",https://www.apartments.com/354-long-creek-rd-sunnyvale-tx/y12k1bt/,"{'3 Beds': '$2,200'}"
Heather Creek,"1540 N Galloway Ave,Mesquite,TX,75149",https://www.apartments.com/heather-creek-mesquite-tx/3pzj9rd/,{'1 Bed\n                            –\n3 Beds': 'Call for Rent'}
1334 Rutherford Dr,"1334 Rutherford Dr,Mesquite,TX,75149",https://www.apartments.com/1334-rutherford-dr-mesquite-tx/fr11tsv/,"{'3 Beds': '$1,150'}"
1502 Charleston Cove,"1502 Charleston Cove,Mesquite,TX,75149",https://www.apartments.com/1502-charleston-cove-mesquite-tx/wygjnxk/,"{'3 Beds': '$1,300'}"
1718 Hancock Dr,"1718 Hancock Dr,Mesquite,TX,75149",https://www.apartments.com/1718-hancock-dr-mesquite-tx/l7fjs9f/,"{'3 Beds': '$1,350'}"
2324 Anita Dr,"2324 Anita Dr,Mesquite,TX,75149",https://www.apartments.com/2324-anita-dr-mesquite-tx/skz0tf5/,"{'4 Beds': '$1,250'}"
533 Oxbow St,"533 Oxbow St,Mesquite,TX,75149",https://www.apartments.com/533-oxbow-st-mesquite-tx/pz3clev/,"{'2 Beds': '$1,275'}"
1610 Ridgeview St,"1610 Ridgeview St,Mesquite,TX,75149",https://www.apartments.com/1610-ridgeview-st-mesquite-tx/m55cb1k/,"{'4 Beds': '$1,575'}"
1507 Cedarcrest Cir,"1507 Cedarcrest Cir,Mesquite,TX,75149",https://www.apartments.com/1507-cedarcrest-cir-mesquite-tx/kzeerlc/,"{'3 Beds': '$1,550'}"
1304 Copper Meadow Dr,"1304 Copper Meadow Dr,Mesquite,TX,75149",https://www.apartments.com/1304-copper-meadow-dr-mesquite-tx/3qd6hse/,"{'3 Beds': '$1,495'}"
1032 Paintbrush St,"1032 Paintbrush St,Mesquite,TX,75149",https://www.apartments.com/1032-paintbrush-st-mesquite-tx/92dctc5/,"{'4 Beds': '$1,670'}"
618 Las Brisas Dr,"618 Las Brisas Dr,Mesquite,TX,75149",https://www.apartments.com/618-las-brisas-dr-mesquite-tx/d4465sh/,"{'3 Beds': '$1,399'}"
1909 Sycamore Dr,"1909 Sycamore Dr,Mesquite,TX,75149",https://www.apartments.com/1909-sycamore-dr-mesquite-tx/e63czqq/,"{'4 Beds': '$1,250'}"
1418 Monica Ln,"1418 Monica Ln,Mesquite,TX,75149",https://www.apartments.com/1418-monica-ln-mesquite-tx/pv30t1r/,"{'3 Beds': '$1,395'}"
406 Chancellorsville Dr,"406 Chancellorsville Dr,Mesquite,TX,75149",https://www.apartments.com/406-chancellorsville-dr-mesquite-tx/66wq8dt/,"{'3 Beds': '$1,450'}"
1533 Savannah St,"1533 Savannah St,Mesquite,TX,75149",https://www.apartments.com/1533-savannah-st-mesquite-tx/ftfsjes/,"{'3 Beds': '$1,450'}"
141 Overland Trail,"141 Overland Trail,Mesquite,TX,75149",https://www.apartments.com/141-overland-trail-mesquite-tx/qvx49qy/,"{'4 Beds': '$1,550'}"
1304 Doris Dr,"1304 Doris Dr,Mesquite,TX,75149",https://www.apartments.com/1304-doris-dr-mesquite-tx/wl3zc5h/,"{'3 Beds': '$1,495'}"
262 Alexandria St,"262 Alexandria St,Mesquite,TX,75149",https://www.apartments.com/262-alexandria-st-mesquite-tx/bfqelqc/,"{'3 Beds': '$1,380'}"
3520 Dublin Trail,"3520 Dublin Trail,Mesquite,TX,75149",https://www.apartments.com/3520-dublin-trail-mesquite-tx/r9s9nk0/,"{'3 Beds': '$1,450'}"
404 Seminary Ridge,"404 Seminary Ridge,Mesquite,TX,75149",https://www.apartments.com/404-seminary-ridge-mesquite-tx/7z1dcdw/,"{'3 Beds': '$1,375'}"
242 Alexandria St,"242 Alexandria St,Mesquite,TX,75149",https://www.apartments.com/242-alexandria-st-mesquite-tx/932epd4/,"{'3 Beds': '$1,380'}"
908 Chelsea Dr,"908 Chelsea Dr,Mesquite,TX,75149",https://www.apartments.com/908-chelsea-dr-mesquite-tx/xr7rexq/,"{'3 Beds': '$1,550'}"
1529 Longview St,"1529 Longview St,Mesquite,TX,75149",https://www.apartments.com/1529-longview-st-mesquite-tx/kbwmnec/,"{'3 Beds': '$1,395'}"
