Name,Address,url,Data
The Lofts at Alta Palisades,"2525 Empire Dr,Richardson,TX,75080",https://www.apartments.com/the-lofts-at-alta-palisades-richardson-tx/j47bhj5/,"{'Studio': '$1,130', '1 Bed': '$1,226 – 1,480', '2 Beds': '$1,599 – 1,915', '3 Beds': 'Call for Rent'}"
The Flats at Alta Palisades,"2625 Empire Dr,Richardson,TX,75080",https://www.apartments.com/the-flats-at-alta-palisades-richardson-tx/tbe43j9/,"{'1 Bed': '$1,225 – 1,386', '2 Beds': '$1,614 – 1,999', '3 Beds': '$1,980'}"
Belle Grove,"800 Custer Rd,Richardson,TX,75080",https://www.apartments.com/belle-grove-richardson-tx/55q35np/,"{'1 Bed': '$945 – 1,495', '2 Beds': '$1,225 – 1,750', '3 Beds': '$1,535 – 2,255'}"
Estates Of Richardson,"955 W President George Bush Hwy,Richardson,TX,75080",https://www.apartments.com/estates-of-richardson-richardson-tx/8csnkm1/,"{'1 Bed': '$1,153 – 1,586', '2 Beds': '$1,541 – 1,941', '3 Beds': '$2,245 – 2,380'}"
The Mallory Eastside,"1705 N Greenville Ave,Richardson,TX,75081",https://www.apartments.com/the-mallory-eastside-richardson-tx/jqmbcc6/,"{'1 Bed': '$1,300 – 1,625', '2 Beds': '$1,910 – 2,130'}"
GreenVue Apartments,"1350 N Greenville Ave,Richardson,TX,75081",https://www.apartments.com/greenvue-apartments-richardson-tx/x1wvm9m/,"{'1 Bed': '$1,149 – 1,784', '2 Beds': '$1,521 – 2,359'}"
Alexan Central,"110 W Cityline Dr,Richardson,TX,75082",https://www.apartments.com/alexan-central-richardson-tx/p3f2hss/,"{'Studio': '$1,199 – 1,295', '1 Bed': '$1,165 – 1,690', '2 Beds': '$1,710 – 2,480'}"
Jefferson Reserve,"2710 Routh Creek Pky,Richardson,TX,75082",https://www.apartments.com/jefferson-reserve-richardson-tx/41dqzth/,{'1 Bed\n                            –\n3 Beds': 'Call for Rent'}
Jefferson Vantage,"2810 Routh Creek Pky,Richardson,TX,75082",https://www.apartments.com/jefferson-vantage-richardson-tx/xscjmsm/,"{'Studio': 'Call for Rent', '1 Bed': '$1,460 – 1,515', '2 Beds': '$1,770 – 2,290', '3 Beds': 'Call for Rent'}"
Alexan Crossings,"120 W Cityline Dr,Richardson,TX,75082",https://www.apartments.com/alexan-crossings-richardson-tx/tzl4rh8/,"{'Studio': '$1,135 – 1,240', '1 Bed': '$1,240 – 1,630', '2 Beds': '$1,650 – 2,470', '3 Beds': '$2,455 – 2,510'}"
Miramonte,"929 Saint Paul Dr,Richardson,TX,75080",https://www.apartments.com/miramonte-richardson-tx/k8h5h39/,"{'2 Beds': '$940', '3 Beds': '$1,095 – 1,145'}"
Hunters  Court,"8550 SPRING VALLEY Rd,DALLAS,TX,75254",https://www.apartments.com/hunters-court-dallas-tx/4ldv4dh/,"{'1 Bed': '$693 – 1,143', '2 Beds': 'Call for Rent'}"
Courtyards at Campbell,"16500 Lauder Ln,Dallas,TX,75248",https://www.apartments.com/courtyards-at-campbell-dallas-tx/478nrmj/,"{'1 Bed': '$723 – 1,443', '2 Beds': '$1,438 – 2,248'}"
Post Eastside,"1801 N Greenville Ave,Richardson,TX,75081",https://www.apartments.com/post-eastside-richardson-tx/831pe42/,"{'Studio': '$1,035 – 2,070', '1 Bed': '$1,020 – 1,800', '2 Beds': '$1,380 – 2,580'}"
Axis 3700 Apartments,"3700 Maple Shade Ln,Plano,TX,75075",https://www.apartments.com/axis-3700-apartments-plano-tx/vy7mmcd/,"{'Studio': '$1,150 – 1,510', '1 Bed': '$1,275 – 1,795', '2 Beds': '$1,695 – 2,800', '3 Beds': 'Call for Rent'}"
The Pradera,"851 Greenside Dr,Richardson,TX,75080",https://www.apartments.com/the-pradera-richardson-tx/gvs4d9z/,"{'1 Bed': '$1,159 – 1,815', '2 Beds': '$1,595 – 2,368', '3 Beds': '$2,318 – 2,806'}"
Lakefront Villas Apartments,"900 W Spring Valley Rd,Richardson,TX,75080",https://www.apartments.com/lakefront-villas-apartments-richardson-tx/1ecw346/,"{'1 Bed': 'Call for Rent', '2 Beds': 'Call for Rent', '3 Beds': '$1,385 – 1,410'}"
The Homes of Prairie Springs Apartments,"280 W Renner Rd,Richardson,TX,75080",https://www.apartments.com/the-homes-of-prairie-springs-apartments-richardson-tx/k9z1t08/,{'1 Bed\n                            –\n3 Beds': 'Call for Rent'}
Marquis at Waterview,"800 W Renner Rd,Richardson,TX,75080",https://www.apartments.com/marquis-at-waterview-richardson-tx/m2kb21l/,"{'1 Bed': '$1,078 – 1,304', '2 Beds': '$1,371 – 1,874', '3 Beds': '$1,990 – 2,727'}"
Parkside Towns,"2230 Hibiscus Ave,Richardson,TX,75080",https://www.apartments.com/parkside-towns-richardson-tx/0xevze2/,"{'2 Beds': '$1,775 – 2,040', '3 Beds': '$2,100 – 2,328'}"
Lakeside on Spring Valley,"1000 W Spring Valley Rd,Richardson,TX,75080",https://www.apartments.com/lakeside-on-spring-valley-richardson-tx/p6czett/,"{'1 Bed': '$750', '2 Beds': '$975'}"
Camelot Apartments,"1212 Hampshire Ln,Richardson,TX,75080",https://www.apartments.com/camelot-apartments-richardson-tx/r203f61/,"{'1 Bed': '$900', '2 Beds': '$1,170', '3 Beds': '$1,430'}"
AMLI Galatyn Station,"2301 Performance Dr,Richardson,TX,75082",https://www.apartments.com/amli-galatyn-station-richardson-tx/jv8msr4/,"{'1 Bed': '$1,112 – 2,211', '2 Beds': '$1,398 – 2,801', '3 Beds': '$1,891 – 2,938'}"
Watersong Villas Town homes & Apartments,"14645 Las Flores Dr,Dallas,TX,75254",https://www.apartments.com/watersong-villas-town-homes-apartments-dallas-tx/t4el3tc/,"{'1 Bed': '$810 – 885', '2 Beds': '$860 – 1,255', '3 Beds': '$1,390 – 1,440'}"
Lafayette Square Apartments,"915 S Waterview Dr,Richardson,TX,75080",https://www.apartments.com/lafayette-square-apartments-richardson-tx/ytdyj2r/,"{'Studio': '$710', '1 Bed': '$880', '2 Beds': '$950 – 1,050', '3 Beds': '$1,225'}"
Windham Chase Apartments,"1330 W Spring Valley Rd,Richardson,TX,75080",https://www.apartments.com/windham-chase-apartments-richardson-tx/yll38zs/,"{'1 Bed': '$880', '2 Beds': '$920 – 1,145', '3 Beds': '$1,144 – 1,304'}"
Spring Creek,"14833 Spring Creek Rd,Dallas,TX,75248",https://www.apartments.com/spring-creek-dallas-tx/fvx2rfr/,"{'1 Bed': '$910 – 960', '2 Beds': '$1,100 – 1,425'}"
2638 Custer Pkwy Unit D,"Richardson,TX,75080",https://www.apartments.com/2638-custer-pkwy-richardson-tx-unit-d/tk3jzj9/,"{'3 Beds': '$1,875'}"
10502 Galatyn Pkwy Unit D,"Richardson,TX,75082",https://www.apartments.com/10502-galatyn-pkwy-richardson-tx-unit-d/pdzey8r/,"{'1 Bed': '$1,300'}"
Huntington Townhomes,"910 Spring Valley Plz,Richardson,TX,75080",https://www.apartments.com/huntington-townhomes-richardson-tx/q9hx7jx/,"{'1 Bed': '$876', '2 Beds': '$1,012 – 1,045'}"
612 Newberry Dr,"612 Newberry Dr,Richardson,TX,75080",https://www.apartments.com/612-newberry-dr-richardson-tx/fmgz04v/,"{'3 Beds': '$1,550'}"
1235 Derby Dr,"1235 Derby Dr,Richardson,TX,75080",https://www.apartments.com/1235-derby-dr-richardson-tx/xhmbvcp/,"{'3 Beds': '$1,400'}"
535 W Lookout Dr Unit 232,"535 W Lookout Dr,Richardson,TX,75080",https://www.apartments.com/535-w-lookout-dr-richardson-tx-unit-232/dt7vp5h/,"{'2 Beds': '$1,300'}"
1242 Danville Dr,"1242 Danville Dr,Richardson,TX,75080",https://www.apartments.com/1242-danville-dr-richardson-tx/f0gcgns/,"{'3 Beds': '$1,885'}"
1412 West Shore Dr,"1412 West Shore Dr,Richardson,TX,75080",https://www.apartments.com/1412-west-shore-dr-richardson-tx/217se2c/,"{'3 Beds': '$1,595'}"
1130 Melrose Dr,"1130 Melrose Dr,Richardson,TX,75080",https://www.apartments.com/1130-melrose-dr-richardson-tx/wmcrgnj/,"{'3 Beds': '$2,100'}"
1305 Melrose Dr,"1305 Melrose Dr,Richardson,TX,75080",https://www.apartments.com/1305-melrose-dr-richardson-tx/pmc871v/,"{'4 Beds': '$2,500'}"
301 Murray Ln,"301 Murray Ln,Richardson,TX,75080",https://www.apartments.com/301-murray-ln-richardson-tx/sc1n236/,"{'4+ Beds': '$2,195'}"
