Name,Address,url,Data
Domain at The One Forty,"4201 Bunker Hill Rd,Garland,TX,75048",https://www.apartments.com/domain-at-the-one-forty-garland-tx/7jqlq4w/,"{'1 Bed': '$1,135 – 1,435', '2 Beds': '$1,520 – 1,845', '3 Beds': '$1,930 – 2,134'}"
Harmony Luxury Apartments,"11010 Harmony Hill Ln,Rowlett,TX,75089",https://www.apartments.com/harmony-luxury-apartments-rowlett-tx/jn3xng4/,"{'1 Bed': '$960 – 1,495', '2 Beds': '$1,300 – 1,830', '3 Beds': '$1,945 – 2,120'}"
Olympus Woodbridge,"7700 Cody Ln,Sachse,TX,75048",https://www.apartments.com/olympus-woodbridge-sachse-tx/0993p80/,"{'1 Bed': '$1,023 – 1,614', '2 Beds': '$1,318 – 1,923', '3 Beds': '$1,659 – 2,184', '4 Beds': '$2,367 – 2,573'}"
5510 Brookview Ct Unit a,"5510 Brookview Ct,Sachse,TX,75048",https://www.apartments.com/5510-brookview-ct-sachse-tx-unit-a/794l97x/,"{'2 Beds': '$1,075'}"
7207 Fieldlark Dr,"7207 Fieldlark Dr,Sachse,TX,75048",https://www.apartments.com/7207-fieldlark-dr-sachse-tx/vcrd81g/,"{'3 Beds': '$1,750'}"
3111 Gentry Dr,"3111 Gentry Dr,Sachse,TX,75048",https://www.apartments.com/3111-gentry-dr-sachse-tx/4rstldh/,"{'4+ Beds': '$2,800'}"
2309 Quail Hollow Dr,"2309 Quail Hollow Dr,Sachse,TX,75048",https://www.apartments.com/2309-quail-hollow-dr-sachse-tx/wppbgyl/,"{'3 Beds': '$2,175'}"
2615 Spring Meadow Dr,"2615 Spring Meadow Dr,Sachse,TX,75048",https://www.apartments.com/2615-spring-meadow-dr-sachse-tx/w0pp1nl/,"{'4 Beds': '$2,700'}"
4544 Bryan Cir,"4544 Bryan Cir,Sachse,TX,75048",https://www.apartments.com/4544-bryan-cir-sachse-tx/79y18rx/,"{'3 Beds': '$1,550'}"
7214 Park Hill Trail,"7214 Park Hill Trail,Sachse,TX,75048",https://www.apartments.com/7214-park-hill-trail-sachse-tx/d85xyvh/,"{'3 Beds': '$1,825'}"
2608 Barger Ln,"2608 Barger Ln,Sachse,TX,75048",https://www.apartments.com/2608-barger-ln-sachse-tx/q85w6py/,"{'3 Beds': '$1,990'}"
6006 Holly Crest Ln,"6006 Holly Crest Ln,Sachse,TX,75048",https://www.apartments.com/6006-holly-crest-ln-sachse-tx/ez5q31p/,"{'3 Beds': '$1,850'}"
3223 Kellie St,"3223 Kellie St,Sachse,TX,75048",https://www.apartments.com/3223-kellie-st-sachse-tx/7p0xkyy/,"{'3 Beds': '$1,500'}"
4510 Meadowview Ln,"4510 Meadowview Ln,Sachse,TX,75048",https://www.apartments.com/4510-meadowview-ln-sachse-tx/r19z4k1/,"{'4 Beds': '$2,595'}"
3705 Rosewood Ln,"3705 Rosewood Ln,Sachse,TX,75048",https://www.apartments.com/3705-rosewood-ln-sachse-tx/3prnldg/,"{'3 Beds': '$1,795'}"
4416 Martha Ave,"4416 Martha Ave,Sachse,TX,75048",https://www.apartments.com/4416-martha-ave-sachse-tx/5835frn/,"{'4+ Beds': '$3,500'}"
5530 Brookview Ct,"5530 Brookview Ct,Sachse,TX,75048",https://www.apartments.com/5530-brookview-ct-sachse-tx/hwnzqz2/,"{'2 Beds': '$1,175'}"
5820 Vista Glen Ln,"5820 Vista Glen Ln,Sachse,TX,75048",https://www.apartments.com/5820-vista-glen-ln-sachse-tx/zlxcwrx/,"{'3 Beds': '$1,695'}"
"7007 Abilene Dr, Sachse, TX, 75048","7007 Abilene Dr,Sachse,TX,75048",https://www.apartments.com/7007-abilene-dr-sachse-tx-75048-sachse-tx/40f609k/,"{'3 Beds': '$1,525'}"
Half Month Free Rent!,"7006 Cottonwood Cir,Sachse,TX,75048",https://www.apartments.com/half-month-free-rent-sachse-tx/83sn1t1/,"{'4 Beds': '$1,900'}"
3705 Rosewood Ln,"3705 Rosewood Ln,Sachse,TX,75048",https://www.apartments.com/3705-rosewood-ln-sachse-tx/30130yd/,"{'3 Beds': '$1,795'}"
4615 Harvest Lane,"4615 Harvest Ln,Sachse,TX,75048",https://www.apartments.com/4615-harvest-lane-sachse-tx/8krffb1/,"{'4+ Beds': '$2,295'}"
5820 Vista Glen Lane,"5820 Vista Glen Ln,Sachse,TX,75048",https://www.apartments.com/5820-vista-glen-lane-sachse-tx/krzekxc/,"{'3 Beds': '$1,695'}"
"3719 7th st, Sachse - Move in Ready!","3719 7th St,Sachse,TX,75048",https://www.apartments.com/3719-7th-st-sachse-move-in-ready-sachse-tx/52enjgn/,"{'3 Beds': '$1,495'}"
6019 Hillside Ln,"6019 Hillside Ln,Sachse,TX,75048",https://www.apartments.com/6019-hillside-ln-sachse-tx/9zsdec5/,"{'3 Beds': '$1,795'}"
Woodbridge Villas,"7920 Country Club Dr,Sachse,TX,75048",https://www.apartments.com/woodbridge-villas-sachse-tx/gl3cqkz/,"{'1 Bed': '$1,065 – 1,075', '2 Beds': '$1,320 – 1,435', '3 Beds': '$1,700'}"
5709 Eaglebend Dr,"5709 Eaglebend Dr,Richardson,TX,75082",https://www.apartments.com/5709-eaglebend-dr-richardson-tx/qtbp63w/,"{'4 Beds': '$2,295'}"
"4 br, 3 bath House - 5709 Eaglebend Drive","5709 Eaglebend Dr,Richardson,TX,75082",https://www.apartments.com/4-br-3-bath-house-5709-eaglebend-drive-richardson-tx/s7t20w7/,"{'4 Beds': '$2,295'}"
5530 Brookview Ct,"5530 Brookview Ct,Sachse,TX,75048",https://www.apartments.com/5530-brookview-ct-sachse-tx/xlehjgq/,{}
Country Living Apartments,"3100 5th St,Sachse,TX,75048",https://www.apartments.com/country-living-apartments-sachse-tx/k84pbh9/,{}
Hilltop Meadows,"6340-6360 Murphy Rd,Sachse,TX,75048",https://www.apartments.com/hilltop-meadows-sachse-tx/qx27tkw/,{}
Harmony - Phase II,"11010 Harmony Hill Ln,Rowlett,TX,75089",https://www.apartments.com/harmony-phase-ii-rowlett-tx/62qzffr/,{}
