Name,Address,url,Data
Creekside South,"3400 McMillen Rd,Wylie,TX,75098",https://www.apartments.com/creekside-south-wylie-tx/7fxyxgy/,"{'1 Bed': '$1,055 – 1,665', '2 Beds': '$1,210 – 2,000', '3 Beds': '$1,735 – 2,505'}"
The Villas at Wylie,"600 Woodbridge Pky,Wylie,TX,75098",https://www.apartments.com/the-villas-at-wylie-wylie-tx/trermjc/,"{'1 Bed': '$980 – 1,700', '2 Beds': '$1,394 – 1,994', '3 Beds': '$1,677 – 2,402'}"
Olympus Woodbridge,"7700 Cody Ln,Sachse,TX,75048",https://www.apartments.com/olympus-woodbridge-sachse-tx/0993p80/,"{'1 Bed': '$1,023 – 1,614', '2 Beds': '$1,318 – 1,923', '3 Beds': '$1,659 – 2,184', '4 Beds': '$2,367 – 2,573'}"
River Oaks,"2000 Country Club Rd,Wylie,TX,75098",https://www.apartments.com/river-oaks-wylie-tx/hd5yvg1/,"{'1 Bed': '$1,000 – 1,030', '2 Beds': '$1,300 – 1,380', '3 Beds': '$1,675'}"
Parc At Wylie,"1315 W Brown St,Wylie,TX,75098",https://www.apartments.com/parc-at-wylie-wylie-tx/xk6pbrn/,"{'1 Bed': '$1,212 – 1,403', '2 Beds': '$1,225 – 1,489', '3 Beds': '$1,570 – 1,921'}"
Bachon Townhomes,"505 Fleming Ct,Wylie,TX,75098",https://www.apartments.com/bachon-townhomes-wylie-tx/knhjpf9/,"{'2 Beds': '$669 – 1,159', '3 Beds': '$750 – 1,259'}"
The Mansions of Wylie Active Adult Community,"300 McCreary Rd,Wylie,TX,75098",https://www.apartments.com/the-mansions-of-wylie-active-adult-community-wylie-tx/s8t0vd4/,"{'1 Bed': '$840 – 1,891', '2 Beds': '$1,700 – 2,544'}"
131 N Ballard Ave Unit B,"Wylie,TX,75098",https://www.apartments.com/131-n-ballard-ave-wylie-tx-unit-b/rjp8l70/,"{'Studio': '$1,300'}"
712 Fleming St,"712 Fleming St,Wylie,TX,75098",https://www.apartments.com/712-fleming-st-wylie-tx/fj6ne7v/,"{'3 Beds': '$1,500'}"
303 Featherstone Trl,"303 Featherstone Trl,Wylie,TX,75098",https://www.apartments.com/303-featherstone-trl-wylie-tx/t47q7gc/,"{'3 Beds': '$1,800'}"
